year,地域コード,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,昼間人口／人口密度（人／平方キロメートル）,常住人口／人口密度（人／平方キロメートル）
2015,13222,92727.0,41462.0,51265.0,116632.0,56738.0,59894.0,79.5,73.1,85.6,7199.3,9055.3
2015,13223,67614.0,32469.0,35145.0,71229.0,35556.0,35673.0,94.9,91.3,98.5,4413.4,4649.4
2015,13224,148156.0,66707.0,81449.0,146631.0,71762.0,74869.0,101.0,93.0,108.8,7051.7,6979.1
2015,13225,68782.0,30845.0,37937.0,87636.0,44041.0,43595.0,78.5,70.0,87.0,3827.6,4876.8
2015,13227,51875.0,27488.0,24387.0,55833.0,28451.0,27382.0,92.9,96.6,89.1,5239.9,5639.7
2015,13228,69906.0,33115.0,36791.0,80954.0,40218.0,40736.0,86.4,82.3,90.3,951.5,1101.9
2015,13229,157135.0,69503.0,87632.0,200012.0,97830.0,102182.0,78.6,71.0,85.8,9976.8,12699.2
2015,13300,61274.0,31261.0,30013.0,58334.0,29096.0,29238.0,105.0,107.4,102.7,163.0,155.2
2015,13303,36767.0,19858.0,16909.0,33445.0,16951.0,16494.0,109.9,117.1,102.5,2182.0,1984.9
2015,13305,17205.0,7742.0,9463.0,17446.0,8485.0,8961.0,98.6,91.2,105.6,612.9,621.5
2015,13307,2089.0,1013.0,1076.0,2209.0,1081.0,1128.0,94.6,93.7,95.4,19.8,21.0
2015,13308,5213.0,2648.0,2565.0,5234.0,2579.0,2655.0,99.6,102.7,96.6,23.1,23.2
2015,13350,27259.0,14436.0,12823.0,26491.0,13859.0,12632.0,102.9,104.2,101.5,67.4,65.5
2015,13361,7998.0,4128.0,3870.0,7884.0,4031.0,3853.0,101.4,102.4,100.4,88.1,86.9
2015,13362,416.0,238.0,178.0,337.0,191.0,146.0,123.4,124.6,121.9,101.0,81.8
2015,13363,2805.0,1388.0,1417.0,2749.0,1344.0,1405.0,102.0,103.3,100.9,101.9,99.8
2015,13364,1938.0,995.0,943.0,1891.0,969.0,922.0,102.5,102.7,102.3,104.3,101.8
2015,13381,2574.0,1421.0,1153.0,2482.0,1350.0,1132.0,103.7,105.3,101.9,46.6,44.9
2015,13382,431.0,257.0,174.0,335.0,189.0,146.0,128.7,136.0,119.2,21.0,16.3
2015,13401,7731.0,3872.0,3859.0,7613.0,3785.0,3828.0,101.5,102.3,100.8,107.0,105.4
2015,13402,225.0,139.0,86.0,178.0,107.0,71.0,126.4,129.9,121.1,37.8,29.9
2015,13421,3141.0,1998.0,1143.0,3022.0,1893.0,1129.0,103.9,105.5,101.2,30.1,29.0
