_id,階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
11,5,13108,従業地・通学地／江東区,36035,33026,32579,35,256,125,71,74,162,495,27109,223,70,278,164,49,53,102,75,93,144,164,168,441,403,1825,442,34,11,20,39,4,38,8,20,30,17,26,14,13,13,4,2,15,12,7,24,3,17,13,6,5,47,4,-,-,-,4,1,1,-,-,-,-,-,-,-,-,3009,2857,113,41,31,780,1227,665,152
12,5,13109,従業地・通学地／品川区,34720,26670,25945,23,129,290,99,126,121,113,400,19020,504,2367,932,115,75,171,100,128,101,184,200,206,180,361,719,52,17,32,57,12,48,8,52,116,26,31,21,21,28,11,2,45,13,14,17,3,12,19,5,7,50,4,2,-,1,1,2,1,-,1,-,-,-,-,-,-,8050,7779,233,78,85,1231,1505,4647,271
13,5,13110,従業地・通学地／目黒区,26418,20419,18588,47,72,260,142,237,72,95,272,779,10517,1608,2178,289,128,509,158,119,69,210,366,148,98,215,1826,129,32,115,292,13,107,21,180,288,69,59,60,28,50,28,7,94,7,18,21,2,64,59,6,14,63,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,5999,5735,130,64,43,922,737,3839,264
14,5,13111,従業地・通学地／大田区,46214,40482,40043,8,55,162,60,47,60,98,176,1112,317,36367,561,60,43,65,39,70,50,79,118,148,111,237,435,37,8,15,24,6,28,5,30,87,9,17,10,16,15,11,2,20,2,2,9,3,13,29,8,1,28,3,-,2,-,1,1,-,1,-,-,-,-,-,-,-,5732,5526,121,52,37,684,691,3941,206
15,5,13112,従業地・通学地／世田谷区,98755,73499,64958,86,221,572,471,331,159,225,649,1096,1628,2250,50948,786,480,1490,342,331,170,496,886,444,303,594,8500,723,145,295,579,67,735,91,1088,1317,185,164,240,117,119,131,30,774,48,47,97,37,433,733,56,53,196,36,20,9,3,4,5,3,-,1,-,-,-,1,-,-,25256,23818,792,361,323,4295,3092,14955,1438
16,5,13113,従業地・通学地／渋谷区,38977,23856,20586,99,260,739,449,326,190,237,620,731,885,1147,2311,7417,409,1010,331,352,202,545,910,488,337,591,3254,304,80,204,242,57,311,51,287,369,129,114,97,87,88,49,20,155,28,50,94,26,110,87,15,38,162,15,13,1,-,1,1,1,-,-,-,-,-,-,-,-,15121,14311,520,296,212,3888,2828,6567,810
17,5,13114,従業地・通学地／中野区,26703,22047,18706,32,102,120,486,155,68,105,311,162,126,219,649,255,11442,1449,234,157,73,327,1522,196,143,373,3321,202,141,183,225,69,185,55,141,121,144,279,92,231,118,40,22,60,79,114,171,50,57,44,40,47,411,18,12,4,-,2,2,1,-,1,-,-,-,-,-,-,4656,4415,178,48,49,1507,1113,1520,241
18,5,13115,従業地・通学地／杉並区,45251,40158,34321,54,98,125,407,182,87,114,363,248,280,402,2021,387,923,25381,204,174,83,325,1768,184,125,386,5817,324,163,584,793,61,494,78,545,226,366,280,132,199,239,105,27,233,75,55,119,39,83,124,38,33,402,19,11,5,-,3,1,-,1,-,-,-,-,-,-,-,5093,4600,156,65,99,1621,811,1848,493
19,5,13116,従業地・通学地／豊島区,43894,28148,25384,94,243,292,646,848,311,209,589,367,333,579,1009,253,468,650,10418,942,457,2207,2535,858,485,591,2744,181,63,111,129,50,118,47,155,174,75,133,80,145,69,52,19,54,36,209,243,23,53,47,28,27,423,17,12,3,1,1,3,-,1,-,2,-,-,-,-,-,15746,15116,685,268,197,7471,3103,3392,630
20,5,13117,従業地・通学地／北区,26207,21081,20677,37,57,88,188,349,169,117,234,83,72,144,147,58,89,87,445,14574,575,1075,358,1102,352,277,400,21,9,18,26,13,16,7,24,28,14,25,13,26,5,6,4,9,4,21,25,3,12,8,2,3,58,3,3,-,-,-,1,-,-,1,-,-,-,-,-,-,5126,4965,146,70,41,3737,639,332,161
