_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
62,2,12,情報通信業,2,13101,千代田区,110084,1889,139,591,108195,109343,55259,1148,71
63,2,13,運輸業，郵便業,2,13101,千代田区,17808,388,21,83,17420,17693,10530,273,44
64,2,14,卸売業，小売業,2,13101,千代田区,95140,2780,651,958,92360,93472,48376,1112,90
65,2,15,金融業，保険業,2,13101,千代田区,96041,1386,37,723,94655,95268,42880,613,44
66,2,16,不動産業，物品賃貸業,2,13101,千代田区,24853,1519,689,433,23334,23680,11746,346,32
67,2,17,学術研究，専門・技術サービス業,2,13101,千代田区,73402,2032,339,887,71370,72139,31966,769,87
68,2,18,宿泊業，飲食サービス業,2,13101,千代田区,31640,1228,337,497,30412,30778,13699,366,25
69,2,19,生活関連サービス業，娯楽業,2,13101,千代田区,10763,489,116,147,10274,10491,5260,217,24
70,2,20,教育，学習支援業,2,13101,千代田区,19548,994,44,315,18554,19173,8522,619,113
71,2,21,医療，福祉,2,13101,千代田区,18313,2408,86,642,15905,17545,7040,1640,430
72,2,22,複合サービス事業,2,13101,千代田区,2361,215,-,81,2146,2278,926,132,9
73,2,23,サービス業（他に分類されないもの）,2,13101,千代田区,62720,1137,104,533,61583,62059,30106,476,51
74,2,24,公務（他に分類されるものを除く）,2,13101,千代田区,61701,1714,1,1319,59987,60375,25421,388,63
75,1,25,分類不能の産業,2,13101,千代田区,24516,4501,195,199,20015,20265,8097,250,30
76,0,1,総数,2,13102,中央区,534656,66868,5444,19247,467788,500589,260404,32801,3392
77,1,2,第1次産業,2,13102,中央区,370,26,1,10,344,359,253,15,7
78,2,3,農業，林業,2,13102,中央区,195,14,1,3,181,191,112,10,4
79,3,4,うち農業,2,13102,中央区,158,11,-,3,147,155,92,8,4
80,2,5,漁業,2,13102,中央区,175,12,-,7,163,168,141,5,3
81,1,6,第2次産業,2,13102,中央区,98825,7033,495,2008,91792,96197,56237,4405,672
82,2,7,鉱業，採石業，砂利採取業,2,13102,中央区,247,11,-,1,236,245,150,9,-
83,2,8,建設業,2,13102,中央区,27319,1529,122,417,25790,26739,16364,949,144
84,2,9,製造業,2,13102,中央区,71259,5493,373,1590,65766,69213,39723,3447,528
85,1,10,第3次産業,2,13102,中央区,413109,49174,4479,16576,363935,391157,198393,27222,2611
86,2,11,電気・ガス・熱供給・水道業,2,13102,中央区,1858,252,1,34,1606,1822,1058,216,29
87,2,12,情報通信業,2,13102,中央区,63475,6775,371,1550,56700,61477,32689,4777,259
88,2,13,運輸業，郵便業,2,13102,中央区,17588,2160,77,499,15428,16947,9445,1519,220
89,2,14,卸売業，小売業,2,13102,中央区,115204,9694,1102,4306,105510,109607,57641,4097,442
90,2,15,金融業，保険業,2,13102,中央区,48206,4282,70,1119,43924,46956,23621,3032,179
91,2,16,不動産業，物品賃貸業,2,13102,中央区,22422,2529,595,753,19893,21015,10860,1122,118
92,2,17,学術研究，専門・技術サービス業,2,13102,中央区,40523,5928,924,1548,34595,37943,19085,3348,238
93,2,18,宿泊業，飲食サービス業,2,13102,中央区,27360,4589,677,2541,22771,24017,9453,1246,81
94,2,19,生活関連サービス業，娯楽業,2,13102,中央区,12766,1600,236,535,11166,11943,6003,777,132
95,2,20,教育，学習支援業,2,13102,中央区,4570,1929,126,364,2641,4054,1735,1413,258
96,2,21,医療，福祉,2,13102,中央区,13475,4402,145,1696,9073,11571,4786,2498,429
97,2,22,複合サービス事業,2,13102,中央区,1039,117,-,41,922,997,407,75,4
98,2,23,サービス業（他に分類されないもの）,2,13102,中央区,38070,3246,149,1178,34824,36688,18502,1864,117
99,2,24,公務（他に分類されるものを除く）,2,13102,中央区,6553,1671,6,412,4882,6120,3108,1238,105
100,1,25,分類不能の産業,2,13102,中央区,22352,10635,469,653,11717,12876,5521,1159,102
101,0,1,総数,2,13103,港区,761174,89508,8368,26496,671666,707515,355133,35849,4628
102,1,2,第1次産業,2,13103,港区,358,62,9,31,296,317,168,21,7
103,2,3,農業，林業,2,13103,港区,310,56,7,29,254,273,140,19,7
104,3,4,うち農業,2,13103,港区,302,52,7,28,250,266,135,16,7
105,2,5,漁業,2,13103,港区,48,6,2,2,42,44,28,2,-
106,1,6,第2次産業,2,13103,港区,129152,7768,616,2443,121384,125991,72109,4607,958
107,2,7,鉱業，採石業，砂利採取業,2,13103,港区,871,29,-,17,842,853,408,11,1
108,2,8,建設業,2,13103,港区,34516,1673,181,543,32843,33770,19510,927,165
109,2,9,製造業,2,13103,港区,93765,6066,435,1883,87699,91368,52191,3669,792
110,1,10,第3次産業,2,13103,港区,591036,61152,7138,23080,529884,560058,273967,30174,3544
111,2,11,電気・ガス・熱供給・水道業,2,13103,港区,5081,243,3,72,4838,5003,2563,165,27
112,2,12,情報通信業,2,13103,港区,163862,7685,532,3401,156177,159870,82062,3693,315
113,2,13,運輸業，郵便業,2,13103,港区,27527,2425,80,696,25102,26709,15281,1607,212
114,2,14,卸売業，小売業,2,13103,港区,96659,9244,1168,3393,87415,91973,47596,4558,448
115,2,15,金融業，保険業,2,13103,港区,38512,4879,102,1169,33633,37195,17882,3562,176
116,2,16,不動産業，物品賃貸業,2,13103,港区,28751,4644,1548,1464,24107,25661,12719,1554,159
117,2,17,学術研究，専門・技術サービス業,2,13103,港区,68581,8184,1606,3319,60397,63578,27953,3181,317
118,2,18,宿泊業，飲食サービス業,2,13103,港区,36238,4744,464,2661,31494,33039,14046,1545,112
119,2,19,生活関連サービス業，娯楽業,2,13103,港区,20556,2552,448,1011,18004,19047,8647,1043,139
120,2,20,教育，学習支援業,2,13103,港区,13379,3256,273,879,10123,12183,5274,2060,430
121,2,21,医療，福祉,2,13103,港区,22123,6234,279,2327,15889,19430,7261,3541,905
122,2,22,複合サービス事業,2,13103,港区,1510,216,-,77,1294,1431,494,137,7
123,2,23,サービス業（他に分類されないもの）,2,13103,港区,59964,4819,626,2085,55145,57192,28620,2047,167
124,2,24,公務（他に分類されるものを除く）,2,13103,港区,8293,2027,9,526,6266,7747,3569,1481,130
125,1,25,分類不能の産業,2,13103,港区,40628,20526,605,942,20102,21149,8889,1047,119
126,0,1,総数,2,13104,新宿区,519077,134848,11586,33865,384229,445643,192766,61414,5552
127,1,2,第1次産業,2,13104,新宿区,193,91,23,23,102,145,67,43,15
128,2,3,農業，林業,2,13104,新宿区,187,90,23,22,97,140,63,43,15
129,3,4,うち農業,2,13104,新宿区,169,83,22,21,86,124,57,38,14
130,2,5,漁業,2,13104,新宿区,6,1,-,1,5,5,4,-,-
131,1,6,第2次産業,2,13104,新宿区,62143,11686,1322,2574,50457,57862,28752,7405,1090
132,2,7,鉱業，採石業，砂利採取業,2,13104,新宿区,29,25,1,1,4,27,14,23,-
133,2,8,建設業,2,13104,新宿区,26369,3678,538,1040,22691,24588,12923,1897,240
134,2,9,製造業,2,13104,新宿区,35745,7983,783,1533,27762,33247,15815,5485,850
135,1,10,第3次産業,2,13104,新宿区,413479,92337,9238,29375,321142,372688,158373,51546,4250
136,2,11,電気・ガス・熱供給・水道業,2,13104,新宿区,3307,366,-,81,2941,3223,1452,282,34
137,2,12,情報通信業,2,13104,新宿区,68840,11153,735,2356,57687,65607,31296,7920,370
138,2,13,運輸業，郵便業,2,13104,新宿区,9313,2729,108,594,6584,8523,3828,1939,212
139,2,14,卸売業，小売業,2,13104,新宿区,67547,14069,1460,4400,53478,61328,27403,7850,621
140,2,15,金融業，保険業,2,13104,新宿区,26905,5500,88,720,21405,26015,11017,4610,238
141,2,16,不動産業，物品賃貸業,2,13104,新宿区,25324,6087,2226,1586,19237,21263,9155,2026,151
142,2,17,学術研究，専門・技術サービス業,2,13104,新宿区,37027,9180,1850,2040,27847,32957,13893,5110,368
143,2,18,宿泊業，飲食サービス業,2,13104,新宿区,31940,8312,668,4285,23628,26743,9895,3115,151
144,2,19,生活関連サービス業，娯楽業,2,13104,新宿区,18804,4026,685,1372,14778,16590,7235,1812,191
145,2,20,教育，学習支援業,2,13104,新宿区,24191,6259,360,1804,17932,21923,8860,3991,625
146,2,21,医療，福祉,2,13104,新宿区,27862,10876,426,4650,16986,22544,7039,5558,840
147,2,22,複合サービス事業,2,13104,新宿区,773,315,-,109,458,661,162,203,9
148,2,23,サービス業（他に分類されないもの）,2,13104,新宿区,48299,8332,617,3185,39967,44223,18527,4256,216
149,2,24,公務（他に分類されるものを除く）,2,13104,新宿区,23347,5133,15,2193,18214,21088,8611,2874,224
150,1,25,分類不能の産業,2,13104,新宿区,43262,30734,1003,1893,12528,14948,5574,2420,197
151,0,1,総数,2,13105,文京区,178831,95226,8851,18404,83605,140933,65462,57328,5516
152,1,2,第1次産業,2,13105,文京区,103,63,13,18,40,71,36,31,10
153,2,3,農業，林業,2,13105,文京区,103,63,13,18,40,71,36,31,10
154,3,4,うち農業,2,13105,文京区,97,55,13,18,42,65,31,23,9
155,2,5,漁業,2,13105,文京区,-,-,-,-,-,-,-,-,-
156,1,6,第2次産業,2,13105,文京区,26981,10756,1190,1788,16225,23805,12739,7580,1139
157,2,7,鉱業，採石業，砂利採取業,2,13105,文京区,63,48,2,1,15,60,4,45,1
158,2,8,建設業,2,13105,文京区,6906,2491,341,430,4415,6044,3463,1629,206
159,2,9,製造業,2,13105,文京区,20012,8217,847,1357,11795,17701,9272,5906,932
160,1,10,第3次産業,2,13105,文京区,136844,72217,6997,15817,64627,112909,51114,48282,4259
161,2,11,電気・ガス・熱供給・水道業,2,13105,文京区,361,250,2,7,111,349,207,238,32
162,2,12,情報通信業,2,13105,文京区,19518,8439,537,1002,11079,17906,9037,6827,299
