year,地域コード,昼間人口／総数（人）,昼間人口／就業者（人）,昼間人口／通学者（人）,昼間人口／従業も通学もしない（人）,常住人口／総数（人）,常住人口／就業者（人）,常住人口／通学者（人）,常住人口／従業も通学もしない（人）
2020,13000,15576130.0,8174125.0,1775247.0,3845585.0,13159388.0,6012536.0,1520111.0,3845585.0
2020,13100,11711537.0,6641364.0,1187041.0,2471241.0,8945695.0,4111983.0,950600.0,2471241.0
2020,13101,819247.0,725446.0,76589.0,10897.0,47115.0,24504.0,5400.0,10897.0
2020,13102,605926.0,550870.0,9553.0,30674.0,122762.0,67554.0,9705.0,30674.0
2020,13103,886173.0,749814.0,44923.0,52095.0,205131.0,95443.0,18263.0,52095.0
2020,13104,750120.0,504305.0,87892.0,77018.0,326309.0,137299.0,31090.0,77018.0
2020,13105,345423.0,190138.0,69499.0,48167.0,206626.0,95937.0,24904.0,48167.0
2020,13106,294756.0,202135.0,17685.0,41571.0,175928.0,85738.0,15254.0,41571.0
2020,13107,279272.0,155169.0,23306.0,67255.0,247606.0,123123.0,23685.0,67255.0
2020,13108,548976.0,330188.0,39412.0,139076.0,460819.0,234274.0,47168.0,139076.0
2020,13109,527019.0,336262.0,41870.0,99306.0,365302.0,182746.0,33669.0,99306.0
2020,13110,293382.0,137807.0,34505.0,71344.0,268330.0,120268.0,26993.0,71344.0
2020,13111,684451.0,338090.0,58832.0,201050.0,693373.0,334214.0,71630.0,201050.0
2020,13112,812810.0,303885.0,129256.0,225311.0,877138.0,394885.0,102582.0,225311.0
2020,13113,520698.0,372568.0,51011.0,46655.0,204492.0,91217.0,16168.0,46655.0
2020,13114,289176.0,118550.0,29902.0,88796.0,314750.0,144850.0,29177.0,88796.0
2020,13115,480172.0,161932.0,54243.0,143630.0,549569.0,234671.0,50898.0,143630.0
2020,13116,422995.0,230593.0,62044.0,64420.0,284678.0,126847.0,27474.0,64420.0
2020,13117,321581.0,135884.0,34006.0,107351.0,335544.0,151890.0,31963.0,107351.0
2020,13118,191626.0,86732.0,18547.0,58145.0,203296.0,96027.0,20922.0,58145.0
2020,13119,493747.0,197858.0,57796.0,151160.0,535824.0,239743.0,57989.0,151160.0
2020,13120,588243.0,211897.0,71049.0,201630.0,716124.0,321148.0,89678.0,201630.0
2020,13121,608632.0,242319.0,62607.0,216077.0,683426.0,301583.0,78136.0,216077.0
2020,13122,376235.0,147103.0,40250.0,135028.0,442586.0,202797.0,50907.0,135028.0
2020,13123,570877.0,211819.0,72264.0,194585.0,678967.0,305225.0,86945.0,194585.0
2020,13200,3776318.0,1486816.0,580468.0,1341392.0,4127128.0,1858414.0,559677.0,1341392.0
2020,13201,578039.0,220436.0,119911.0,187933.0,580053.0,253920.0,88439.0,187933.0
2020,13202,203252.0,103041.0,22821.0,56787.0,179668.0,80669.0,21610.0,56787.0
2020,13203,153267.0,70210.0,25459.0,42619.0,138734.0,64578.0,16558.0,42619.0
2020,13204,166284.0,69169.0,20655.0,51731.0,186083.0,86216.0,23406.0,51731.0
2020,13205,127303.0,52846.0,14004.0,48063.0,139339.0,60877.0,18009.0,48063.0
2020,13206,246380.0,115949.0,29153.0,81838.0,255506.0,120881.0,33348.0,81838.0
2020,13207,100273.0,45154.0,11028.0,38918.0,112297.0,54250.0,13956.0,38918.0
2020,13208,195986.0,75888.0,28254.0,66580.0,223593.0,103489.0,28259.0,66580.0
2020,13209,388575.0,136380.0,68758.0,145224.0,426987.0,184278.0,59272.0,145224.0
2020,13210,102683.0,32663.0,21268.0,36487.0,118852.0,53289.0,16811.0,36487.0
2020,13211,166106.0,60090.0,28837.0,59961.0,187035.0,81400.0,28456.0,59961.0
2020,13212,158452.0,61320.0,24409.0,57363.0,180052.0,81901.0,25428.0,57363.0
2020,13213,125378.0,40206.0,15735.0,57007.0,153557.0,64313.0,19807.0,57007.0
2020,13214,100798.0,35913.0,16035.0,38395.0,120650.0,55100.0,16700.0,38395.0
2020,13215,73597.0,26588.0,15812.0,22993.0,75510.0,33455.0,10858.0,22993.0
2020,13218,51582.0,20930.0,5565.0,18399.0,59796.0,27693.0,7016.0,18399.0
2020,13219,58983.0,19551.0,6363.0,25465.0,78751.0,36439.0,9243.0,25465.0
2020,13220,65959.0,23069.0,8753.0,29860.0,83068.0,38096.0,10835.0,29860.0
2020,13221,61802.0,20437.0,9519.0,28291.0,74104.0,32369.0,9890.0,28291.0
2020,13222,93335.0,34583.0,12059.0,43796.0,116546.0,54360.0,15493.0,43796.0
2020,13223,64590.0,27229.0,8954.0,24193.0,70053.0,32068.0,9578.0,24193.0
2020,13224,145569.0,64174.0,19918.0,45194.0,147648.0,66741.0,19429.0,45194.0
2020,13225,67517.0,24429.0,9962.0,26219.0,84835.0,39622.0,12087.0,26219.0
2020,13227,53221.0,25211.0,5978.0,19344.0,57032.0,27379.0,7621.0,19344.0
2020,13228,70137.0,26560.0,9809.0,26906.0,80868.0,36261.0,10839.0,26906.0
2020,13229,157250.0,54790.0,21449.0,61826.0,196511.0,88770.0,26729.0,61826.0
2020,13300,60275.0,30805.0,5074.0,22875.0,58750.0,27187.0,7167.0,22875.0
2020,13303,36272.0,19995.0,3488.0,11589.0,33497.0,16107.0,4601.0,11589.0
2020,13305,15959.0,7382.0,1161.0,7124.0,16650.0,7369.0,1865.0,7124.0
2020,13307,2297.0,966.0,132.0,1198.0,2558.0,1154.0,205.0,1198.0
2020,13308,5747.0,2462.0,293.0,2964.0,6045.0,2557.0,496.0,2964.0
2020,13350,28000.0,15140.0,2664.0,10077.0,27815.0,14952.0,2667.0,10077.0
2020,13361,8490.0,4169.0,942.0,3375.0,8461.0,4144.0,938.0,3375.0
2020,13362,348.0,253.0,19.0,71.0,341.0,246.0,19.0,71.0
2020,13363,2890.0,1469.0,253.0,1158.0,2883.0,1458.0,257.0,1158.0
2020,13364,1895.0,1089.0,211.0,592.0,1889.0,1080.0,214.0,592.0
2020,13381,2711.0,1534.0,147.0,962.0,2676.0,1499.0,147.0,962.0
2020,13382,355.0,241.0,30.0,78.0,348.0,234.0,30.0,78.0
2020,13401,8258.0,4258.0,776.0,3206.0,8231.0,4231.0,776.0,3206.0
2020,13402,209.0,146.0,26.0,35.0,201.0,139.0,25.0,35.0
2020,13421,2844.0,1981.0,260.0,600.0,2785.0,1921.0,261.0,600.0
