year,地域コード,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,昼間人口／人口密度（人／平方キロメートル）,常住人口／人口密度（人／平方キロメートル）
2020,13222,95619.0,43026.0,52593.0,115271.0,55647.0,59624.0,83.0,77.3,88.2,7423.8,8949.6
2020,13223,67567.0,32450.0,35117.0,70829.0,35260.0,35569.0,95.4,92.0,98.7,4410.4,4623.3
2020,13224,146247.0,66822.0,79425.0,146951.0,71611.0,75340.0,99.5,93.3,105.4,6960.8,6994.3
2020,13225,74976.0,34285.0,40691.0,93151.0,46879.0,46272.0,80.5,73.1,87.9,4172.3,5183.7
2020,13227,51710.0,27105.0,24605.0,54326.0,27471.0,26855.0,95.2,98.7,91.6,5223.2,5487.5
2020,13228,67342.0,31723.0,35619.0,79292.0,39230.0,40062.0,84.9,80.9,88.9,916.6,1079.2
2020,13229,167697.0,75718.0,91979.0,207388.0,100992.0,106396.0,80.9,75.0,86.4,10647.4,13167.5
2020,13300,60135.0,30992.0,29143.0,55476.0,27631.0,27845.0,108.4,112.2,104.7,160.0,147.6
2020,13303,35317.0,19125.0,16192.0,31765.0,15992.0,15773.0,111.2,119.6,102.7,2096.0,1885.2
2020,13305,17760.0,8239.0,9521.0,16958.0,8267.0,8691.0,104.7,99.7,109.6,632.7,604.1
2020,13307,2133.0,1058.0,1075.0,2003.0,983.0,1020.0,106.5,107.6,105.4,20.2,19.0
2020,13308,4925.0,2570.0,2355.0,4750.0,2389.0,2361.0,103.7,107.6,99.7,21.8,21.1
2020,13350,24969.0,13312.0,11657.0,24461.0,12911.0,11550.0,102.1,103.1,100.9,61.4,60.1
2020,13361,7276.0,3794.0,3482.0,7102.0,3667.0,3435.0,102.5,103.5,101.4,80.2,78.3
2020,13362,351.0,211.0,140.0,327.0,197.0,130.0,107.3,107.1,107.7,85.2,79.4
2020,13363,2451.0,1214.0,1237.0,2441.0,1204.0,1237.0,100.4,100.8,100.0,89.0,88.6
2020,13364,1857.0,956.0,901.0,1855.0,952.0,903.0,100.1,100.4,99.8,99.9,99.8
2020,13381,2345.0,1325.0,1020.0,2273.0,1269.0,1004.0,103.2,104.4,101.6,42.4,41.1
2020,13382,330.0,187.0,143.0,323.0,181.0,142.0,102.2,103.3,100.7,16.1,15.7
2020,13401,7133.0,3607.0,3526.0,7042.0,3534.0,3508.0,101.3,102.1,100.5,98.8,97.5
2020,13402,205.0,128.0,77.0,169.0,102.0,67.0,121.3,125.5,114.9,34.4,28.4
2020,13421,3021.0,1890.0,1131.0,2929.0,1805.0,1124.0,103.1,104.7,100.6,28.3,27.4
