year,産業分類並び順,産業階層,産業,地域コード,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
2020,23,2,サービス業（他に分類されないもの）,13100,565654.0,332685.0,26219.0,273496.0,232969.0,253685.0,207358.0,20716.0,16201.0
2020,24,2,公務（他に分類されるものを除く）,13100,199167.0,116745.0,1024.0,102184.0,82422.0,95053.0,73540.0,12631.0,8850.0
2020,25,1,分類不能の産業,13100,205465.0,172178.0,22922.0,52969.0,33287.0,37900.0,30980.0,4613.0,3442.0
2020,1,0,総数,13101,812726.0,28554.0,4089.0,10955.0,784172.0,796251.0,361078.0,12079.0,1580.0
2020,2,1,第１次産業,13101,418.0,6.0,3.0,1.0,412.0,414.0,195.0,2.0,2.0
2020,3,2,農業，林業,13101,399.0,6.0,3.0,1.0,393.0,395.0,184.0,2.0,2.0
2020,4,3,うち農業,13101,260.0,6.0,3.0,1.0,254.0,256.0,126.0,2.0,2.0
2020,5,2,漁業,13101,19.0,,,,19.0,19.0,11.0,,
2020,6,1,第２次産業,13101,97997.0,2355.0,279.0,685.0,95642.0,96987.0,51781.0,1345.0,243.0
2020,7,2,鉱業，採石業，砂利採取業,13101,719.0,14.0,,2.0,705.0,717.0,303.0,12.0,1.0
2020,8,2,建設業,13101,26249.0,597.0,63.0,174.0,25652.0,25992.0,14266.0,340.0,64.0
2020,9,2,製造業,13101,71029.0,1744.0,216.0,509.0,69285.0,70278.0,37212.0,993.0,178.0
2020,10,1,第３次産業,13101,702330.0,24875.0,3623.0,10122.0,677455.0,688063.0,304213.0,10608.0,1322.0
2020,11,2,電気・ガス・熱供給・水道業,13101,5653.0,78.0,6.0,28.0,5575.0,5617.0,2876.0,42.0,3.0
2020,12,2,情報通信業,13101,122644.0,3278.0,688.0,1069.0,119366.0,120853.0,55875.0,1487.0,68.0
2020,13,2,運輸業，郵便業,13101,19182.0,498.0,29.0,115.0,18684.0,19019.0,10423.0,335.0,43.0
2020,14,2,卸売業，小売業,13101,102947.0,3187.0,553.0,1155.0,99760.0,101150.0,48835.0,1390.0,122.0
2020,15,2,金融業，保険業,13101,101610.0,2146.0,106.0,1221.0,99464.0,100264.0,41230.0,800.0,56.0
2020,16,2,不動産業，物品賃貸業,13101,31535.0,1937.0,717.0,613.0,29598.0,30126.0,13940.0,528.0,58.0
2020,17,2,学術研究，専門・技術サービス業,13101,90747.0,3441.0,718.0,1541.0,87306.0,88438.0,35874.0,1132.0,103.0
2020,18,2,宿泊業，飲食サービス業,13101,32362.0,1275.0,256.0,569.0,31087.0,31491.0,14131.0,404.0,20.0
2020,19,2,生活関連サービス業，娯楽業,13101,11995.0,592.0,129.0,170.0,11403.0,11669.0,5487.0,266.0,33.0
2020,20,2,教育，学習支援業,13101,21580.0,1272.0,112.0,400.0,20308.0,21041.0,8649.0,733.0,143.0
2020,21,2,医療，福祉,13101,21282.0,3446.0,133.0,950.0,17836.0,20130.0,7603.0,2294.0,560.0
