year,地域コード,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
2020,13000,2762478.0,,2762478.0,2506080.0,,2506080.0,256398.0,240391.0,,,256398.0,240391.0,494814.0,,494814.0,438737.0,,438737.0,56077.0,48132.0,,,56077.0,48132.0,2267664.0,,2267664.0,2067343.0,,2067343.0,200321.0,192259.0,,,200321.0,192259.0
2020,13100,3037953.0,531955.0,2505998.0,2786927.0,482030.0,2304897.0,251026.0,234316.0,49925.0,46299.0,201101.0,188017.0,424904.0,106503.0,318401.0,359001.0,79494.0,279507.0,65903.0,54483.0,27009.0,21919.0,38894.0,32564.0,2613049.0,425452.0,2187597.0,2427926.0,402536.0,2025390.0,185123.0,179833.0,22916.0,24380.0,162207.0,155453.0
2020,13101,850920.0,463699.0,387221.0,796251.0,435173.0,361078.0,54669.0,49475.0,28526.0,24495.0,26143.0,24980.0,13824.0,11980.0,1844.0,12079.0,10499.0,1580.0,1745.0,1275.0,1481.0,1063.0,264.0,212.0,837096.0,451719.0,385377.0,784172.0,424674.0,359498.0,52924.0,48200.0,27045.0,23432.0,25879.0,24768.0
2020,13102,513030.0,262257.0,250773.0,510146.0,260403.0,249743.0,2884.0,2454.0,1854.0,1539.0,1030.0,915.0,48819.0,44064.0,4755.0,44319.0,40166.0,4153.0,4500.0,3179.0,3898.0,2711.0,602.0,468.0,464211.0,218193.0,246018.0,465827.0,220237.0,245590.0,-1616.0,-725.0,-2044.0,-1172.0,428.0,447.0
2020,13103,759822.0,402865.0,356957.0,733161.0,386940.0,346221.0,26661.0,21481.0,15925.0,12130.0,10736.0,9351.0,47640.0,41860.0,5780.0,41512.0,36620.0,4892.0,6128.0,4026.0,5240.0,3371.0,888.0,655.0,712182.0,361005.0,351177.0,691649.0,350320.0,341329.0,20533.0,17455.0,10685.0,8759.0,9848.0,8696.0
2020,13104,517475.0,305442.0,212033.0,463014.0,274555.0,188459.0,54461.0,51351.0,30887.0,28533.0,23574.0,22818.0,73331.0,67018.0,6313.0,65609.0,60066.0,5543.0,7722.0,5880.0,6952.0,5193.0,770.0,687.0,444144.0,238424.0,205720.0,397405.0,214489.0,182916.0,46739.0,45471.0,23935.0,23340.0,22804.0,22131.0
2020,13105,188584.0,105905.0,82679.0,143715.0,80449.0,63266.0,44869.0,39688.0,25456.0,21193.0,19413.0,18495.0,75005.0,67999.0,7006.0,66916.0,60844.0,6072.0,8089.0,6297.0,7155.0,5490.0,934.0,807.0,113579.0,37906.0,75673.0,76799.0,19605.0,57194.0,36780.0,33391.0,18301.0,15703.0,18479.0,17688.0
2020,13106,151747.0,74666.0,77081.0,144857.0,69665.0,75192.0,6890.0,6046.0,5001.0,4190.0,1889.0,1856.0,56016.0,50235.0,5781.0,51340.0,46130.0,5210.0,4676.0,3793.0,4105.0,3293.0,571.0,500.0,95731.0,24431.0,71300.0,93517.0,23535.0,69982.0,2214.0,2253.0,896.0,897.0,1318.0,1356.0
2020,13107,95956.0,51148.0,44808.0,89552.0,46390.0,43162.0,6404.0,5417.0,4758.0,3966.0,1646.0,1451.0,86070.0,77897.0,8173.0,79629.0,72413.0,7216.0,6441.0,5571.0,5484.0,4758.0,957.0,813.0,9886.0,-26749.0,36635.0,9923.0,-26023.0,35946.0,-37.0,-154.0,-726.0,-792.0,689.0,638.0
2020,13108,260181.0,128617.0,131564.0,251255.0,122700.0,128555.0,8926.0,7765.0,5917.0,5047.0,3009.0,2718.0,150678.0,135569.0,15109.0,135723.0,122692.0,13031.0,14955.0,12279.0,12877.0,10558.0,2078.0,1721.0,109503.0,-6952.0,116455.0,115532.0,8.0,115524.0,-6029.0,-4514.0,-6960.0,-5511.0,931.0,997.0
2020,13109,286240.0,134448.0,151792.0,270540.0,126798.0,143742.0,15700.0,13564.0,7650.0,6397.0,8050.0,7167.0,126573.0,110265.0,16308.0,115619.0,101060.0,14559.0,10954.0,8719.0,9205.0,7310.0,1749.0,1409.0,159667.0,24183.0,135484.0,154921.0,25738.0,129183.0,4746.0,4845.0,-1555.0,-913.0,6301.0,5758.0
2020,13110,96940.0,55178.0,41762.0,81039.0,45276.0,35763.0,15901.0,14194.0,9902.0,8661.0,5999.0,5533.0,83230.0,74587.0,8643.0,74163.0,66858.0,7305.0,9067.0,6550.0,7729.0,5523.0,1338.0,1027.0,13710.0,-19409.0,33119.0,6876.0,-21582.0,28458.0,6834.0,7644.0,2173.0,3138.0,4661.0,4506.0
2020,13111,172369.0,63854.0,108515.0,162522.0,59739.0,102783.0,9847.0,9256.0,4115.0,3745.0,5732.0,5511.0,198424.0,161640.0,36784.0,178498.0,145648.0,32850.0,19926.0,16605.0,15992.0,13333.0,3934.0,3272.0,-26055.0,-97786.0,71731.0,-15976.0,-85909.0,69933.0,-10079.0,-7349.0,-11877.0,-9588.0,1798.0,2239.0
2020,13112,178824.0,89227.0,89597.0,131017.0,66676.0,64341.0,47807.0,41453.0,22551.0,18420.0,25256.0,23033.0,267652.0,237740.0,29912.0,237738.0,213037.0,24701.0,29914.0,23672.0,24703.0,19671.0,5211.0,4001.0,-88828.0,-148513.0,59685.0,-106721.0,-146361.0,39640.0,17893.0,17781.0,-2152.0,-1251.0,20045.0,19032.0
2020,13113,363874.0,208856.0,155018.0,332314.0,192417.0,139897.0,31560.0,28489.0,16439.0,13979.0,15121.0,14510.0,56422.0,51676.0,4746.0,50333.0,46306.0,4027.0,6089.0,4340.0,5370.0,3785.0,719.0,555.0,307452.0,157180.0,150272.0,281981.0,146111.0,135870.0,25471.0,24149.0,11069.0,10194.0,14402.0,13955.0
2020,13114,84510.0,58274.0,26236.0,69249.0,47669.0,21580.0,15261.0,13034.0,10605.0,8664.0,4656.0,4370.0,103623.0,97305.0,6318.0,94618.0,89016.0,5602.0,9005.0,7689.0,8289.0,7022.0,716.0,667.0,-19113.0,-39031.0,19918.0,-25369.0,-41347.0,15978.0,6256.0,5345.0,2316.0,1642.0,3940.0,3703.0
2020,13115,89278.0,68095.0,21183.0,69408.0,53318.0,16090.0,19870.0,17259.0,14777.0,12429.0,5093.0,4830.0,182318.0,171120.0,11198.0,164300.0,154593.0,9707.0,18018.0,14621.0,16527.0,13236.0,1491.0,1385.0,-93040.0,-103025.0,9985.0,-94892.0,-101275.0,6383.0,1852.0,2638.0,-1750.0,-807.0,3602.0,3445.0
2020,13116,195284.0,102731.0,92553.0,161808.0,85001.0,76807.0,33476.0,29804.0,17730.0,15016.0,15746.0,14788.0,84815.0,76631.0,8184.0,76211.0,68924.0,7287.0,8604.0,6982.0,7707.0,6190.0,897.0,792.0,110469.0,26100.0,84369.0,85597.0,16077.0,69520.0,24872.0,22822.0,10023.0,8826.0,14849.0,13996.0
2020,13117,83137.0,36230.0,46907.0,71504.0,29723.0,41781.0,11633.0,9476.0,6507.0,4897.0,5126.0,4579.0,106332.0,92359.0,13973.0,97171.0,84356.0,12815.0,9161.0,7943.0,8003.0,6956.0,1158.0,987.0,-23195.0,-56129.0,32934.0,-25667.0,-54633.0,28966.0,2472.0,1533.0,-1496.0,-2059.0,3968.0,3592.0
2020,13118,44695.0,23530.0,21165.0,40734.0,21239.0,19495.0,3961.0,3240.0,2291.0,1849.0,1670.0,1391.0,68530.0,61063.0,7467.0,61778.0,55193.0,6585.0,6752.0,5511.0,5870.0,4777.0,882.0,734.0,-23835.0,-37533.0,13698.0,-21044.0,-33954.0,12910.0,-2791.0,-2271.0,-3579.0,-2928.0,788.0,657.0
2020,13119,93184.0,43259.0,49925.0,78140.0,36073.0,42067.0,15044.0,13255.0,7186.0,5967.0,7858.0,7288.0,154309.0,135731.0,18578.0,139134.0,122390.0,16744.0,15175.0,13513.0,13341.0,11839.0,1834.0,1674.0,-61125.0,-92472.0,31347.0,-60994.0,-86317.0,25323.0,-131.0,-258.0,-6155.0,-5872.0,6024.0,5614.0
2020,13120,74252.0,42431.0,31821.0,64572.0,36151.0,28421.0,9680.0,7941.0,6280.0,4904.0,3400.0,3037.0,225499.0,202212.0,23287.0,200526.0,179972.0,20554.0,24973.0,21867.0,22240.0,19352.0,2733.0,2515.0,-151247.0,-159781.0,8534.0,-135954.0,-143821.0,7867.0,-15293.0,-13926.0,-15960.0,-14448.0,667.0,522.0
2020,13121,88593.0,31156.0,57437.0,81111.0,28093.0,53018.0,7482.0,7126.0,3063.0,2884.0,4419.0,4242.0,164261.0,135864.0,28397.0,148409.0,122857.0,25552.0,15852.0,14012.0,13007.0,11622.0,2845.0,2390.0,-75668.0,-104708.0,29040.0,-67298.0,-94764.0,27466.0,-8370.0,-6886.0,-9944.0,-8738.0,1574.0,1852.0
2020,13122,53158.0,24623.0,28535.0,48302.0,21902.0,26400.0,4856.0,4516.0,2721.0,2479.0,2135.0,2037.0,129419.0,109312.0,20107.0,117516.0,99956.0,17560.0,11903.0,10513.0,9356.0,8446.0,2547.0,2067.0,-76261.0,-84689.0,8428.0,-69214.0,-78054.0,8840.0,-7047.0,-5997.0,-6635.0,-5967.0,-412.0,-30.0
