year,通学地コード,通学地,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
2015,13000,東京都総数,1431654.0,1104643.0,654426.0,3658.0,7578.0,11030.0,18286.0,19120.0,9879.0,16474.0,36851.0,25798.0,18129.0,54771.0,66186.0,12117.0,20396.0,42709.0,17059.0,21369.0,14886.0,42317.0,56678.0,44586.0,33024.0,61525.0,327011.0,308312.0,11035.0,4072.0,3935.0,100863.0,62343.0,126064.0,18699.0
2015,13100,区部,941924.0,687501.0,624385.0,3496.0,7339.0,10503.0,17315.0,18467.0,9608.0,16104.0,35928.0,25078.0,17314.0,53342.0,60863.0,11247.0,18739.0,37553.0,16337.0,20754.0,14552.0,41156.0,52310.0,43777.0,32386.0,60217.0,254423.0,242730.0,9516.0,3294.0,2970.0,81768.0,55864.0,89318.0,11693.0
2015,13101,千代田区,67709.0,35137.0,28772.0,2304.0,425.0,537.0,1197.0,1319.0,552.0,847.0,1927.0,763.0,675.0,1393.0,2872.0,559.0,887.0,1854.0,826.0,779.0,612.0,1579.0,1695.0,1334.0,1187.0,2649.0,32572.0,31256.0,1518.0,473.0,364.0,9366.0,9878.0,9657.0,1316.0
2015,13102,中央区,7701.0,6393.0,6190.0,20.0,4424.0,29.0,40.0,36.0,57.0,95.0,367.0,69.0,21.0,127.0,64.0,18.0,19.0,60.0,29.0,40.0,36.0,38.0,49.0,121.0,120.0,311.0,1308.0,1242.0,54.0,18.0,13.0,337.0,484.0,336.0,66.0
2015,13103,港区,37691.0,23860.0,21902.0,154.0,346.0,6459.0,438.0,632.0,233.0,297.0,946.0,1276.0,1089.0,2319.0,1946.0,608.0,342.0,812.0,321.0,325.0,204.0,613.0,702.0,547.0,505.0,788.0,13831.0,13416.0,211.0,83.0,99.0,2623.0,2932.0,7468.0,415.0
2015,13104,新宿区,77049.0,46250.0,35426.0,198.0,291.0,466.0,10901.0,1178.0,324.0,437.0,1147.0,711.0,722.0,1215.0,2518.0,624.0,2468.0,2311.0,1214.0,819.0,429.0,1317.0,2821.0,904.0,770.0,1641.0,30799.0,29313.0,1054.0,371.0,389.0,10696.0,6650.0,10153.0,1486.0
2015,13105,文京区,63095.0,39107.0,35053.0,230.0,339.0,443.0,857.0,11659.0,647.0,556.0,1215.0,542.0,637.0,907.0,1529.0,436.0,553.0,1058.0,1682.0,1444.0,847.0,2983.0,1993.0,1606.0,1141.0,1749.0,23988.0,22838.0,1286.0,297.0,290.0,9457.0,6289.0,5219.0,1150.0
2015,13106,台東区,13195.0,10661.0,10377.0,31.0,75.0,39.0,60.0,180.0,5700.0,417.0,301.0,89.0,26.0,145.0,77.0,26.0,37.0,60.0,90.0,180.0,586.0,152.0,101.0,889.0,521.0,595.0,2534.0,2388.0,151.0,50.0,29.0,872.0,872.0,414.0,146.0
2015,13107,墨田区,16736.0,15042.0,14946.0,16.0,96.0,29.0,41.0,50.0,220.0,10356.0,836.0,54.0,12.0,100.0,32.0,15.0,32.0,34.0,26.0,57.0,173.0,56.0,43.0,598.0,830.0,1240.0,1694.0,1636.0,58.0,17.0,5.0,373.0,1024.0,159.0,58.0
2015,13108,江東区,33104.0,29687.0,29168.0,14.0,174.0,69.0,60.0,70.0,134.0,548.0,24065.0,208.0,65.0,257.0,133.0,51.0,57.0,90.0,62.0,82.0,115.0,108.0,136.0,406.0,485.0,1779.0,3417.0,3229.0,142.0,59.0,27.0,914.0,1362.0,725.0,188.0
2015,13109,品川区,34890.0,24540.0,23648.0,26.0,92.0,267.0,136.0,134.0,129.0,152.0,343.0,16448.0,553.0,2545.0,811.0,114.0,113.0,239.0,118.0,113.0,109.0,214.0,215.0,188.0,188.0,401.0,10350.0,9995.0,306.0,117.0,113.0,1623.0,1919.0,5917.0,355.0
2015,13110,目黒区,26901.0,20136.0,17861.0,27.0,79.0,185.0,176.0,234.0,56.0,78.0,463.0,707.0,9359.0,1717.0,2190.0,303.0,160.0,708.0,134.0,125.0,74.0,257.0,353.0,147.0,117.0,212.0,6765.0,6446.0,126.0,41.0,39.0,1003.0,773.0,4464.0,319.0
2015,13111,大田区,48213.0,41252.0,40737.0,7.0,49.0,167.0,56.0,37.0,58.0,120.0,168.0,1164.0,356.0,36828.0,568.0,89.0,60.0,73.0,50.0,54.0,74.0,79.0,110.0,170.0,130.0,270.0,6961.0,6698.0,172.0,55.0,42.0,690.0,869.0,4870.0,263.0
2015,13112,世田谷区,98581.0,66729.0,56576.0,112.0,181.0,414.0,476.0,354.0,170.0,262.0,674.0,1128.0,1719.0,2428.0,41064.0,754.0,628.0,1836.0,359.0,365.0,215.0,625.0,1003.0,573.0,434.0,802.0,31852.0,30147.0,911.0,347.0,416.0,6218.0,4243.0,18012.0,1705.0
2015,13113,渋谷区,47055.0,25988.0,21212.0,88.0,220.0,681.0,474.0,355.0,201.0,249.0,596.0,742.0,995.0,1316.0,2572.0,6491.0,497.0,1297.0,432.0,419.0,255.0,673.0,987.0,551.0,370.0,751.0,21067.0,20001.0,679.0,383.0,280.0,5443.0,3758.0,9458.0,1066.0
2015,13114,中野区,26995.0,21649.0,17728.0,31.0,70.0,78.0,495.0,137.0,90.0,121.0,285.0,126.0,113.0,249.0,547.0,238.0,10317.0,1551.0,226.0,184.0,80.0,361.0,1653.0,193.0,162.0,421.0,5346.0,4981.0,204.0,41.0,62.0,1767.0,1333.0,1574.0,365.0
2015,13115,杉並区,47022.0,40115.0,33057.0,49.0,76.0,134.0,417.0,215.0,103.0,141.0,357.0,250.0,272.0,433.0,2063.0,392.0,1093.0,23532.0,265.0,201.0,107.0,394.0,1700.0,219.0,170.0,474.0,6907.0,6390.0,193.0,93.0,89.0,2297.0,1275.0,2443.0,517.0
2015,13116,豊島区,50881.0,29085.0,25301.0,77.0,187.0,265.0,738.0,852.0,254.0,249.0,584.0,393.0,402.0,716.0,989.0,280.0,556.0,789.0,8934.0,1054.0,494.0,2596.0,2593.0,995.0,588.0,716.0,21796.0,21084.0,902.0,315.0,262.0,10705.0,4212.0,4688.0,712.0
2015,13117,北区,25574.0,19696.0,19295.0,30.0,45.0,76.0,181.0,329.0,231.0,170.0,263.0,62.0,67.0,139.0,150.0,71.0,95.0,99.0,510.0,12725.0,509.0,1219.0,403.0,1144.0,395.0,382.0,5878.0,5696.0,176.0,65.0,42.0,4354.0,740.0,319.0,182.0
2015,13118,荒川区,13273.0,11231.0,10958.0,18.0,19.0,23.0,41.0,101.0,116.0,100.0,78.0,31.0,34.0,70.0,103.0,27.0,34.0,72.0,74.0,166.0,8745.0,95.0,93.0,548.0,227.0,143.0,2042.0,1981.0,114.0,27.0,20.0,717.0,695.0,408.0,61.0
2015,13119,板橋区,45332.0,35033.0,33810.0,25.0,52.0,67.0,237.0,378.0,93.0,112.0,204.0,148.0,90.0,161.0,214.0,75.0,228.0,265.0,593.0,1162.0,223.0,26851.0,1701.0,417.0,178.0,336.0,10299.0,9760.0,392.0,203.0,184.0,6965.0,1094.0,922.0,539.0
2015,13120,練馬区,43893.0,40033.0,37366.0,19.0,26.0,37.0,204.0,114.0,24.0,27.0,99.0,54.0,50.0,80.0,223.0,49.0,485.0,671.0,280.0,143.0,45.0,739.0,33758.0,91.0,52.0,96.0,3860.0,3613.0,106.0,31.0,53.0,2288.0,558.0,577.0,247.0
2015,13121,足立区,38730.0,34125.0,33719.0,8.0,22.0,12.0,31.0,41.0,89.0,191.0,146.0,35.0,29.0,72.0,87.0,9.0,33.0,66.0,49.0,218.0,428.0,110.0,91.0,30864.0,816.0,272.0,4605.0,4454.0,435.0,132.0,73.0,1806.0,1365.0,643.0,151.0
2015,13122,葛飾区,27792.0,25085.0,24838.0,6.0,12.0,13.0,25.0,30.0,56.0,247.0,123.0,37.0,17.0,59.0,68.0,11.0,25.0,44.0,40.0,59.0,115.0,58.0,61.0,904.0,22128.0,700.0,2707.0,2573.0,152.0,31.0,22.0,711.0,1126.0,531.0,134.0
2015,13123,江戸川区,50512.0,46667.0,46445.0,6.0,39.0,13.0,34.0,32.0,71.0,332.0,741.0,41.0,11.0,66.0,43.0,7.0,20.0,32.0,23.0,40.0,77.0,39.0,49.0,368.0,872.0,43489.0,3845.0,3593.0,174.0,45.0,57.0,543.0,2413.0,361.0,252.0
2015,13200,市部,483190.0,410654.0,29995.0,162.0,238.0,526.0,969.0,653.0,270.0,370.0,922.0,719.0,814.0,1426.0,5320.0,869.0,1654.0,5153.0,719.0,613.0,334.0,1157.0,4361.0,806.0,637.0,1303.0,72536.0,65539.0,1516.0,778.0,965.0,19067.0,6472.0,36741.0,6997.0
2015,13201,八王子市,99522.0,77459.0,5739.0,31.0,60.0,80.0,179.0,132.0,71.0,108.0,249.0,169.0,169.0,389.0,815.0,122.0,289.0,698.0,164.0,169.0,121.0,318.0,624.0,228.0,184.0,370.0,22063.0,19517.0,458.0,239.0,351.0,5723.0,1653.0,11093.0,2546.0
2015,13202,立川市,18125.0,17186.0,323.0,,2.0,2.0,10.0,5.0,1.0,3.0,8.0,8.0,9.0,16.0,39.0,9.0,19.0,92.0,4.0,6.0,,13.0,48.0,10.0,6.0,13.0,939.0,688.0,16.0,12.0,11.0,255.0,81.0,313.0,251.0
2015,13203,武蔵野市,23386.0,18298.0,4863.0,36.0,39.0,65.0,153.0,110.0,38.0,47.0,153.0,74.0,121.0,151.0,582.0,119.0,316.0,1221.0,109.0,81.0,38.0,144.0,895.0,99.0,98.0,174.0,5088.0,4708.0,155.0,71.0,61.0,2133.0,1079.0,1209.0,380.0
2015,13204,三鷹市,16807.0,15282.0,1764.0,12.0,11.0,31.0,58.0,48.0,11.0,20.0,46.0,37.0,47.0,69.0,387.0,44.0,88.0,407.0,29.0,18.0,20.0,51.0,213.0,27.0,21.0,69.0,1525.0,1320.0,42.0,27.0,29.0,438.0,271.0,513.0,205.0
2015,13205,青梅市,9641.0,9536.0,14.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,5.0,1.0,1.0,1.0,105.0,93.0,4.0,2.0,1.0,50.0,4.0,32.0,12.0
2015,13206,府中市,24912.0,23584.0,773.0,2.0,6.0,5.0,26.0,25.0,6.0,8.0,32.0,18.0,18.0,40.0,171.0,15.0,35.0,132.0,23.0,20.0,8.0,28.0,78.0,13.0,19.0,45.0,1328.0,1147.0,25.0,21.0,26.0,422.0,153.0,500.0,181.0
2015,13207,昭島市,9176.0,9049.0,29.0,1.0,,,,1.0,1.0,,,,,2.0,2.0,2.0,5.0,5.0,,1.0,,3.0,4.0,,2.0,,127.0,106.0,6.0,1.0,1.0,60.0,9.0,29.0,21.0
2015,13208,調布市,25598.0,22672.0,2833.0,7.0,21.0,151.0,72.0,51.0,12.0,24.0,56.0,59.0,100.0,90.0,902.0,225.0,83.0,483.0,48.0,41.0,17.0,59.0,170.0,62.0,31.0,69.0,2926.0,2553.0,81.0,41.0,47.0,639.0,373.0,1372.0,373.0
2015,13209,町田市,62229.0,46066.0,2601.0,8.0,14.0,48.0,62.0,45.0,24.0,32.0,73.0,93.0,111.0,221.0,829.0,103.0,87.0,226.0,52.0,50.0,28.0,87.0,150.0,88.0,45.0,125.0,16163.0,15500.0,155.0,60.0,71.0,1019.0,534.0,13661.0,663.0
2015,13210,小金井市,19129.0,15532.0,2262.0,13.0,21.0,27.0,82.0,51.0,18.0,24.0,63.0,60.0,41.0,94.0,259.0,40.0,182.0,528.0,51.0,53.0,22.0,76.0,364.0,58.0,48.0,87.0,3597.0,3263.0,78.0,51.0,46.0,1459.0,414.0,1215.0,334.0
2015,13211,小平市,22758.0,19978.0,1701.0,9.0,16.0,25.0,93.0,36.0,21.0,23.0,50.0,49.0,46.0,67.0,133.0,35.0,138.0,246.0,56.0,56.0,21.0,73.0,364.0,39.0,38.0,67.0,2780.0,2428.0,72.0,41.0,51.0,1368.0,323.0,573.0,352.0
2015,13212,日野市,19677.0,17474.0,639.0,5.0,1.0,5.0,27.0,9.0,6.0,10.0,27.0,22.0,11.0,36.0,90.0,15.0,43.0,86.0,18.0,17.0,7.0,42.0,79.0,28.0,17.0,38.0,2203.0,1867.0,68.0,24.0,43.0,654.0,114.0,964.0,336.0
2015,13213,東村山市,12103.0,11651.0,309.0,,1.0,1.0,10.0,4.0,,1.0,5.0,3.0,2.0,3.0,20.0,1.0,38.0,60.0,6.0,8.0,,10.0,129.0,1.0,2.0,4.0,452.0,422.0,,2.0,4.0,372.0,12.0,32.0,30.0
2015,13214,国分寺市,13663.0,11184.0,1403.0,17.0,12.0,41.0,50.0,37.0,19.0,18.0,44.0,34.0,46.0,45.0,152.0,54.0,91.0,274.0,48.0,29.0,17.0,54.0,194.0,38.0,24.0,65.0,2479.0,2208.0,58.0,46.0,67.0,1217.0,283.0,537.0,271.0
