year,地域コード,昼間人口／総数（人）,昼間人口／就業者（人）,昼間人口／通学者（人）,昼間人口／従業も通学もしない（人）,常住人口／総数（人）,常住人口／就業者（人）,常住人口／通学者（人）,常住人口／従業も通学もしない（人）
2015,13000,15920405.0,8006342.0,1679335.0,3829543.0,13515271.0,5858959.0,1421603.0,3829543.0
2015,13100,12033592.0,6499325.0,1133360.0,2447298.0,9272740.0,3979836.0,892019.0,2447298.0
2015,13101,853068.0,755559.0,69443.0,11159.0,58406.0,24692.0,5654.0,11159.0
2015,13102,608603.0,534656.0,10298.0,31358.0,141183.0,66868.0,10667.0,31358.0
2015,13103,940785.0,761174.0,45898.0,54922.0,243283.0,89508.0,20072.0,54922.0
2015,13104,775549.0,519077.0,83025.0,74119.0,333560.0,134848.0,25266.0,74119.0
2015,13105,346132.0,178831.0,67476.0,52242.0,219724.0,95226.0,24673.0,52242.0
2015,13106,303931.0,189188.0,17319.0,44968.0,198073.0,85952.0,14698.0,44968.0
2015,13107,279181.0,146122.0,21302.0,69207.0,256274.0,122324.0,22193.0,69207.0
2015,13108,608532.0,345287.0,42970.0,144792.0,498109.0,228833.0,48999.0,144792.0
2015,13109,544022.0,332671.0,40170.0,98475.0,386855.0,182766.0,32908.0,98475.0
2015,13110,293832.0,128729.0,32378.0,69252.0,277622.0,119587.0,25311.0,69252.0
2015,13111,693865.0,328994.0,57941.0,197879.0,717082.0,340829.0,69322.0,197879.0
2015,13112,856870.0,276479.0,120823.0,227211.0,903346.0,350132.0,93647.0,227211.0
2015,13113,539109.0,373203.0,50504.0,49856.0,224533.0,92718.0,16422.0,49856.0
2015,13114,313270.0,119547.0,31218.0,81989.0,328215.0,140129.0,25581.0,81989.0
2015,13115,479975.0,162076.0,55044.0,148177.0,563997.0,248373.0,52769.0,148177.0
2015,13116,417146.0,215248.0,56061.0,67251.0,291167.0,121926.0,23405.0,67251.0
2015,13117,329753.0,130636.0,32147.0,97566.0,341076.0,144825.0,29281.0,97566.0
2015,13118,194004.0,80051.0,17443.0,57032.0,212264.0,95686.0,20068.0,57032.0
2015,13119,508099.0,185338.0,55824.0,158740.0,561916.0,239664.0,55314.0,158740.0
2015,13120,605084.0,183557.0,63681.0,205343.0,721722.0,284146.0,79728.0,205343.0
2015,13121,608968.0,220322.0,58328.0,188422.0,670122.0,272140.0,67662.0,188422.0
2015,13122,372335.0,133396.0,37943.0,131527.0,442913.0,195544.0,46372.0,131527.0
