year,地域コード,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
2015,13113,368857.0,199786.0,169071.0,328293.0,180289.0,148004.0,40564.0,37414.0,19497.0,17161.0,21067.0,20253.0,54290.0,49144.0,5146.0,47808.0,43518.0,4290.0,6482.0,4903.0,5626.0,4154.0,856.0,749.0,314567.0,150642.0,163925.0,280485.0,136771.0,143714.0,34082.0,32511.0,13871.0,13007.0,20211.0,19504.0
2015,13114,85389.0,56618.0,28771.0,68711.0,45286.0,23425.0,16678.0,14573.0,11332.0,9519.0,5346.0,5054.0,100334.0,93409.0,6925.0,89293.0,83330.0,5963.0,11041.0,9574.0,10079.0,8661.0,962.0,913.0,-14945.0,-36791.0,21846.0,-20582.0,-38044.0,17462.0,5637.0,4999.0,1253.0,858.0,4384.0,4141.0
2015,13115,93596.0,68659.0,24937.0,70106.0,52076.0,18030.0,23490.0,20677.0,16583.0,14094.0,6907.0,6583.0,177618.0,164882.0,12736.0,156403.0,145705.0,10698.0,21215.0,17747.0,19177.0,15826.0,2038.0,1921.0,-84022.0,-96223.0,12201.0,-86297.0,-93629.0,7332.0,2275.0,2930.0,-2594.0,-1732.0,4869.0,4662.0
2015,13116,205608.0,101936.0,103672.0,163661.0,81785.0,81876.0,41947.0,38083.0,20151.0,17410.0,21796.0,20673.0,79630.0,71220.0,8410.0,70339.0,63095.0,7244.0,9291.0,7702.0,8125.0,6638.0,1166.0,1064.0,125978.0,30716.0,95262.0,93322.0,18690.0,74632.0,32656.0,30381.0,12026.0,10772.0,20630.0,19609.0
2015,13117,84063.0,35622.0,48441.0,71214.0,28651.0,42563.0,12849.0,10443.0,6971.0,5346.0,5878.0,5097.0,95386.0,82391.0,12995.0,85403.0,73747.0,11656.0,9983.0,8831.0,8644.0,7585.0,1339.0,1246.0,-11323.0,-46769.0,35446.0,-14189.0,-45096.0,30907.0,2866.0,1612.0,-1673.0,-2239.0,4539.0,3851.0
2015,13118,45703.0,22897.0,22806.0,41175.0,20411.0,20764.0,4528.0,3685.0,2486.0,2004.0,2042.0,1681.0,63963.0,56594.0,7369.0,56810.0,50453.0,6357.0,7153.0,5998.0,6141.0,5071.0,1012.0,927.0,-18260.0,-33697.0,15437.0,-15635.0,-30042.0,14407.0,-2625.0,-2313.0,-3655.0,-3067.0,1030.0,754.0
2015,13119,97910.0,42451.0,55459.0,79429.0,34269.0,45160.0,18481.0,16325.0,8182.0,6900.0,10299.0,9425.0,151726.0,132378.0,19348.0,133755.0,116912.0,16843.0,17971.0,16097.0,15466.0,13776.0,2505.0,2321.0,-53816.0,-89927.0,36111.0,-54326.0,-82643.0,28317.0,510.0,228.0,-7284.0,-6876.0,7794.0,7104.0
2015,13120,74323.0,41194.0,33129.0,64188.0,34919.0,29269.0,10135.0,8336.0,6275.0,4938.0,3860.0,3398.0,190959.0,169231.0,21728.0,164777.0,146311.0,18466.0,26182.0,23144.0,22920.0,20089.0,3262.0,3055.0,-116636.0,-128037.0,11401.0,-100589.0,-111392.0,10803.0,-16047.0,-14808.0,-16645.0,-15151.0,598.0,343.0
2015,13121,88787.0,29780.0,59007.0,80921.0,26519.0,54402.0,7866.0,7498.0,3261.0,3101.0,4605.0,4397.0,149939.0,122817.0,27122.0,132739.0,109095.0,23644.0,17200.0,15332.0,13722.0,12255.0,3478.0,3077.0,-61152.0,-93037.0,31885.0,-51818.0,-82576.0,30758.0,-9334.0,-7834.0,-10461.0,-9154.0,1127.0,1320.0
2015,13122,53700.0,23656.0,30044.0,48036.0,20699.0,27337.0,5664.0,5264.0,2957.0,2701.0,2707.0,2563.0,124277.0,103952.0,20325.0,110184.0,93056.0,17128.0,14093.0,12587.0,10896.0,9837.0,3197.0,2750.0,-70577.0,-80296.0,9719.0,-62148.0,-72357.0,10209.0,-8429.0,-7323.0,-7939.0,-7136.0,-490.0,-187.0
2015,13123,69539.0,27844.0,41695.0,62516.0,24666.0,37850.0,7023.0,6546.0,3178.0,2973.0,3845.0,3573.0,189358.0,159254.0,30104.0,166452.0,141218.0,25234.0,22906.0,20646.0,18036.0,16354.0,4870.0,4292.0,-119819.0,-131410.0,11591.0,-103936.0,-116552.0,12616.0,-15883.0,-14100.0,-14858.0,-13381.0,-1025.0,-719.0
2015,13200,393093.0,115621.0,277472.0,288843.0,83907.0,204936.0,104250.0,95802.0,31714.0,26643.0,72536.0,69159.0,752516.0,569858.0,182658.0,666540.0,506740.0,159800.0,85976.0,79645.0,63118.0,58716.0,22858.0,20929.0,-359423.0,-454237.0,94814.0,-377697.0,-422833.0,45136.0,18274.0,16157.0,-31404.0,-32073.0,49678.0,48230.0
2015,13201,125545.0,75167.0,50378.0,79234.0,50919.0,28315.0,46311.0,44546.0,24248.0,22917.0,22063.0,21629.0,126818.0,104641.0,22177.0,109378.0,90076.0,19302.0,17440.0,16349.0,14565.0,13661.0,2875.0,2688.0,-1273.0,-29474.0,28201.0,-30144.0,-39157.0,9013.0,28871.0,28197.0,9683.0,9256.0,19188.0,18941.0
2015,13202,74435.0,60550.0,13885.0,66558.0,53612.0,12946.0,7877.0,7393.0,6938.0,6466.0,939.0,927.0,49435.0,45047.0,4388.0,42958.0,39209.0,3749.0,6477.0,5786.0,5838.0,5181.0,639.0,605.0,25000.0,15503.0,9497.0,23600.0,14403.0,9197.0,1400.0,1607.0,1100.0,1285.0,300.0,322.0
2015,13203,62732.0,49015.0,13717.0,46935.0,38306.0,8629.0,15797.0,13366.0,10709.0,8444.0,5088.0,4922.0,50143.0,46636.0,3507.0,43167.0,40203.0,2964.0,6976.0,5896.0,6433.0,5368.0,543.0,528.0,12589.0,2379.0,10210.0,3768.0,-1897.0,5665.0,8821.0,7470.0,4276.0,3076.0,4545.0,4394.0
2015,13204,38465.0,31342.0,7123.0,32409.0,26811.0,5598.0,6056.0,5154.0,4531.0,3682.0,1525.0,1472.0,59680.0,55938.0,3742.0,51121.0,47956.0,3165.0,8559.0,7493.0,7982.0,6939.0,577.0,554.0,-21215.0,-24596.0,3381.0,-18712.0,-21145.0,2433.0,-2503.0,-2339.0,-3451.0,-3257.0,948.0,918.0
