year,産業分類並び順,産業階層,産業,地域コード,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
2015,23,2,サービス業（他に分類されないもの）,13100,478099.0,269762.0,16544.0,228453.0,208337.0,225756.0,185008.0,17419.0,13858.0
2015,24,2,公務（他に分類されるものを除く）,13100,188333.0,103632.0,388.0,91054.0,84701.0,96055.0,74608.0,11354.0,7861.0
2015,25,1,分類不能の産業,13100,610999.0,550087.0,24789.0,97057.0,60912.0,70901.0,56541.0,9989.0,7709.0
2015,1,0,総数,13101,755559.0,24692.0,3012.0,7940.0,730867.0,740387.0,360194.0,9520.0,1333.0
2015,2,1,第1次産業,13101,287.0,9.0,1.0,3.0,278.0,283.0,141.0,5.0,2.0
2015,3,2,農業，林業,13101,273.0,9.0,1.0,3.0,264.0,269.0,134.0,5.0,2.0
2015,4,3,うち農業,13101,179.0,6.0,1.0,2.0,173.0,176.0,92.0,3.0,1.0
2015,5,2,漁業,13101,14.0,,,,14.0,14.0,7.0,,
2015,6,1,第2次産業,13101,101629.0,1972.0,252.0,518.0,99657.0,100803.0,57758.0,1146.0,213.0
2015,7,2,鉱業，採石業，砂利採取業,13101,886.0,6.0,,3.0,880.0,883.0,410.0,3.0,
2015,8,2,建設業,13101,24206.0,471.0,77.0,120.0,23735.0,24003.0,14030.0,268.0,46.0
2015,9,2,製造業,13101,76537.0,1495.0,175.0,395.0,75042.0,75917.0,43318.0,875.0,167.0
2015,10,1,第3次産業,13101,629127.0,18210.0,2564.0,7220.0,610917.0,619036.0,294198.0,8119.0,1088.0
2015,11,2,電気・ガス・熱供給・水道業,13101,4753.0,31.0,,11.0,4722.0,4742.0,2467.0,20.0,5.0
2015,12,2,情報通信業,13101,110084.0,1889.0,139.0,591.0,108195.0,109343.0,55259.0,1148.0,71.0
2015,13,2,運輸業，郵便業,13101,17808.0,388.0,21.0,83.0,17420.0,17693.0,10530.0,273.0,44.0
2015,14,2,卸売業，小売業,13101,95140.0,2780.0,651.0,958.0,92360.0,93472.0,48376.0,1112.0,90.0
2015,15,2,金融業，保険業,13101,96041.0,1386.0,37.0,723.0,94655.0,95268.0,42880.0,613.0,44.0
2015,16,2,不動産業，物品賃貸業,13101,24853.0,1519.0,689.0,433.0,23334.0,23680.0,11746.0,346.0,32.0
2015,17,2,学術研究，専門・技術サービス業,13101,73402.0,2032.0,339.0,887.0,71370.0,72139.0,31966.0,769.0,87.0
2015,18,2,宿泊業，飲食サービス業,13101,31640.0,1228.0,337.0,497.0,30412.0,30778.0,13699.0,366.0,25.0
2015,19,2,生活関連サービス業，娯楽業,13101,10763.0,489.0,116.0,147.0,10274.0,10491.0,5260.0,217.0,24.0
2015,20,2,教育，学習支援業,13101,19548.0,994.0,44.0,315.0,18554.0,19173.0,8522.0,619.0,113.0
2015,21,2,医療，福祉,13101,18313.0,2408.0,86.0,642.0,15905.0,17545.0,7040.0,1640.0,430.0
2015,22,2,複合サービス事業,13101,2361.0,215.0,,81.0,2146.0,2278.0,926.0,132.0,9.0
2015,23,2,サービス業（他に分類されないもの）,13101,62720.0,1137.0,104.0,533.0,61583.0,62059.0,30106.0,476.0,51.0
2015,24,2,公務（他に分類されるものを除く）,13101,61701.0,1714.0,1.0,1319.0,59987.0,60375.0,25421.0,388.0,63.0
2015,25,1,分類不能の産業,13101,24516.0,4501.0,195.0,199.0,20015.0,20265.0,8097.0,250.0,30.0
2015,1,0,総数,13102,534656.0,66868.0,5444.0,19247.0,467788.0,500589.0,260404.0,32801.0,3392.0
2015,2,1,第1次産業,13102,370.0,26.0,1.0,10.0,344.0,359.0,253.0,15.0,7.0
2015,3,2,農業，林業,13102,195.0,14.0,1.0,3.0,181.0,191.0,112.0,10.0,4.0
2015,4,3,うち農業,13102,158.0,11.0,,3.0,147.0,155.0,92.0,8.0,4.0
2015,5,2,漁業,13102,175.0,12.0,,7.0,163.0,168.0,141.0,5.0,3.0
2015,6,1,第2次産業,13102,98825.0,7033.0,495.0,2008.0,91792.0,96197.0,56237.0,4405.0,672.0
2015,7,2,鉱業，採石業，砂利採取業,13102,247.0,11.0,,1.0,236.0,245.0,150.0,9.0,
2015,8,2,建設業,13102,27319.0,1529.0,122.0,417.0,25790.0,26739.0,16364.0,949.0,144.0
2015,9,2,製造業,13102,71259.0,5493.0,373.0,1590.0,65766.0,69213.0,39723.0,3447.0,528.0
2015,10,1,第3次産業,13102,413109.0,49174.0,4479.0,16576.0,363935.0,391157.0,198393.0,27222.0,2611.0
2015,11,2,電気・ガス・熱供給・水道業,13102,1858.0,252.0,1.0,34.0,1606.0,1822.0,1058.0,216.0,29.0
2015,12,2,情報通信業,13102,63475.0,6775.0,371.0,1550.0,56700.0,61477.0,32689.0,4777.0,259.0
2015,13,2,運輸業，郵便業,13102,17588.0,2160.0,77.0,499.0,15428.0,16947.0,9445.0,1519.0,220.0
2015,14,2,卸売業，小売業,13102,115204.0,9694.0,1102.0,4306.0,105510.0,109607.0,57641.0,4097.0,442.0
2015,15,2,金融業，保険業,13102,48206.0,4282.0,70.0,1119.0,43924.0,46956.0,23621.0,3032.0,179.0
2015,16,2,不動産業，物品賃貸業,13102,22422.0,2529.0,595.0,753.0,19893.0,21015.0,10860.0,1122.0,118.0
2015,17,2,学術研究，専門・技術サービス業,13102,40523.0,5928.0,924.0,1548.0,34595.0,37943.0,19085.0,3348.0,238.0
2015,18,2,宿泊業，飲食サービス業,13102,27360.0,4589.0,677.0,2541.0,22771.0,24017.0,9453.0,1246.0,81.0
2015,19,2,生活関連サービス業，娯楽業,13102,12766.0,1600.0,236.0,535.0,11166.0,11943.0,6003.0,777.0,132.0
2015,20,2,教育，学習支援業,13102,4570.0,1929.0,126.0,364.0,2641.0,4054.0,1735.0,1413.0,258.0
2015,21,2,医療，福祉,13102,13475.0,4402.0,145.0,1696.0,9073.0,11571.0,4786.0,2498.0,429.0
2015,22,2,複合サービス事業,13102,1039.0,117.0,,41.0,922.0,997.0,407.0,75.0,4.0
2015,23,2,サービス業（他に分類されないもの）,13102,38070.0,3246.0,149.0,1178.0,34824.0,36688.0,18502.0,1864.0,117.0
2015,24,2,公務（他に分類されるものを除く）,13102,6553.0,1671.0,6.0,412.0,4882.0,6120.0,3108.0,1238.0,105.0
