地域階層,地域コード,地域,昼間通学者／総数／平成27年(人）,昼間通学者／総数／平成22年(人）,昼間通学者／総数／増減数／平成22年～27年（人）,昼間通学者／総数／増減率／平成22年～27年（％）,昼間通学者／男／平成27年(人）,昼間通学者／男／平成22年(人）,昼間通学者／男／増減数／平成22年～27年（人）,昼間通学者／男／増減率／平成22年～27年（％）,昼間通学者／女／平成27年(人）,昼間通学者／女／平成22年(人）,昼間通学者／女／増減数／平成22年～27年（人）,昼間通学者／女／増減率／平成22年～27年（％）,常住通学者／総数／平成27年(人）,常住通学者／総数／平成22年(人）,常住通学者／総数／増減数／平成22年～27年（人）,常住通学者／総数／増減率／平成22年～27年（％）,常住通学者／男／平成27年(人）,常住通学者／男／平成22年(人）,常住通学者／男／増減数／平成22年～27年（人）,常住通学者／男／増減率／平成22年～27年（％）,常住通学者／女／平成27年(人）,常住通学者／女／平成22年(人）,常住通学者／女／増減数／平成22年～27年（人）,常住通学者／女／増減率／平成22年～27年（％）,流入通学者／総数／平成27年(人）,流入通学者／総数／平成22年(人）,流入通学者／総数／増減数／平成22年～27年（人）,流入通学者／総数／増減率／平成22年～27年（％）,流入通学者／男／平成27年(人）,流入通学者／男／平成22年(人）,流入通学者／男／増減数／平成22年～27年（人）,流入通学者／男／増減率／平成22年～27年（％）,流入通学者／女／平成27年(人）,流入通学者／女／平成22年(人）,流入通学者／女／増減数／平成22年～27年（人）,流入通学者／女／増減率／平成22年～27年（％）,流出通学者／総数／平成27年(人）,流出通学者／総数／平成22年(人）,流出通学者／総数／増減数／平成22年～27年（人）,流出通学者／総数／増減率／平成22年～27年（％）,流出通学者／男／平成27年(人）,流出通学者／男／平成22年(人）,流出通学者／男／増減数／平成22年～27年（人）,流出通学者／男／増減率／平成22年～27年（％）,流出通学者／女／平成27年(人）,流出通学者／女／平成22年(人）,流出通学者／女／増減数／平成22年～27年（人）,流出通学者／女／増減率／平成22年～27年（％）,流入超過通学者／総数／平成27年(人）,流入超過通学者／総数／平成22年(人）,流入超過通学者／総数／増減数／平成22年～27年（人）,流入超過通学者／男／平成27年(人）,流入超過通学者／男／平成22年(人）,流入超過通学者／男／増減数／平成22年～27年（人）,流入超過通学者／女／平成27年(人）,流入超過通学者／女／平成22年(人）,流入超過通学者／女／増減数／平成22年～27年（人）,残留通学者／総数／平成27年(人）,残留通学者／総数／平成22年(人）,残留通学者／総数／増減数／平成22年～27年（人）,残留通学者／総数／増減率／平成22年～27年（％）,残留通学者／男／平成27年(人）,残留通学者／男／平成22年(人）,残留通学者／男／増減数／平成22年～27年（人）,残留通学者／男／増減率／平成22年～27年（％）,残留通学者／女／平成27年(人）,残留通学者／女／平成22年(人）,残留通学者／女／増減数／平成22年～27年（人）,残留通学者／女／増減率／平成22年～27年（％）,昼夜間通学者比率／総数／平成27年,昼夜間通学者比率／総数／平成22年,昼夜間通学者比率／総数／増減数／平成22年～27年,昼夜間通学者比率／総数／増減率／平成22年～27年（％）,昼夜間通学者比率／男／平成27年,昼夜間通学者比率／男／平成22年,昼夜間通学者比率／男／増減数／平成22年～27年,昼夜間通学者比率／男／増減率／平成22年～27年（％）,昼夜間通学者比率／女／平成27年,昼夜間通学者比率／女／平成22年,昼夜間通学者比率／女／増減数／平成22年～27年,昼夜間通学者比率／女／増減率／平成22年～27年（％）,面　積（平方キロメートル）,人口密度／昼間通学者（人/平方キロメートル）,人口密度／常住通学者（人/平方キロメートル）
2,13109,品川区,40170,41870,-1700,-4.060186291,19360,20590,-1230,-5.973773677,20810,21280,-470,-2.208646617,32908,33669,-761,-2.260239389,16824,17416,-592,-3.399173174,16084,16253,-169,-1.039808035,18442,18876,-434,-2.299215936,8187,8646,-459,-5.308813324,10255,10230,25,0.244379277,11180,10675,505,4.730679157,5651,5472,179,3.27119883,5529,5203,326,6.265615991,7262,8201,-939,2536,3174,-638,4726,5027,-301,21728,22994,-1266,-5.5,11173,11944,-771,-6.5,10555,11050,-495,-4.5,122.1,124.4,-2.3,-1.8,115.1,118.2,-3.1,-2.6,129.4,130.9,-1.5,-1.1,22.84,1758.8,1440.8
2,13110,目黒区,32378,34505,-2127,-6.164324011,19262,20214,-952,-4.709607203,13116,14291,-1175,-8.221957876,25311,26993,-1682,-6.231245138,13054,13973,-919,-6.576969871,12257,13020,-763,-5.860215054,17542,17950,-408,-2.272980501,11385,11471,-86,-0.749716677,6157,6479,-322,-4.969902763,10475,10438,37,0.354474037,5177,5230,-53,-1.013384321,5298,5208,90,1.728110599,7067,7512,-445,6208,6241,-33,859,1271,-412,14836,16555,-1719,-10.4,7877,8743,-866,-9.9,6959,7812,-853,-10.9,127.9,127.8,0.1,0.1,147.6,144.7,2.9,2,107,109.8,-2.8,-2.6,14.67,2207.1,1725.4
2,13111,大田区,57941,58832,-891,-1.514481915,30809,31629,-820,-2.592557463,27132,27203,-71,-0.261000625,69322,71630,-2308,-3.22211364,35846,37551,-1705,-4.540491598,33476,34079,-603,-1.769418117,11385,9438,1947,20.62937063,6421,5463,958,17.5361523,4964,3975,989,24.88050314,22766,22236,530,2.383522216,11458,11385,73,0.641194554,11308,10851,457,4.211593402,-11381,-12798,1417,-5037,-5922,885,-6344,-6876,532,46556,49394,-2838,-5.7,24388,26166,-1778,-6.8,22168,23228,-1060,-4.6,83.6,82.1,1.5,1.8,85.9,84.2,1.7,2,81,79.8,1.2,1.5,60.66,955.2,1142.8
2,13112,世田谷区,120823,129256,-8433,-6.52426193,63316,67436,-4120,-6.109496411,57507,61820,-4313,-6.976706568,93647,102582,-8935,-8.710105087,49636,54089,-4453,-8.232727542,44011,48493,-4482,-9.242571093,57517,58487,-970,-1.658488211,29682,30161,-479,-1.588143629,27835,28326,-491,-1.733389819,30341,31813,-1472,-4.627039261,16002,16814,-812,-4.829308909,14339,14999,-660,-4.400293353,27176,26674,502,13680,13347,333,13496,13327,169,63306,70769,-7463,-10.5,33634,37275,-3641,-9.8,29672,33494,-3822,-11.4,129,126,3,2.4,127.6,124.7,2.9,2.3,130.7,127.5,3.2,2.5,58.05,2081.4,1613.2
2,13113,渋谷区,50504,51011,-507,-0.993903276,20519,21153,-634,-2.997210798,29985,29858,127,0.425346641,16422,16168,254,1.571004453,8224,7971,253,3.174005771,8198,8197,1,0.012199585,40564,41157,-593,-1.440824161,15549,16408,-859,-5.235251097,25015,24749,266,1.074790901,6482,6314,168,2.66075388,3254,3226,28,0.867947923,3228,3088,140,4.533678757,34082,34843,-761,12295,13182,-887,21787,21661,126,9940,9854,86,0.9,4970,4745,225,4.7,4970,5109,-139,-2.7,307.5,315.5,-8,-2.5,249.5,265.4,-15.9,-6,365.8,364.3,1.5,0.4,15.11,3342.4,1086.8
2,13114,中野区,31218,29902,1316,4.401043409,15833,15247,586,3.843379025,15385,14655,730,4.981235073,25581,29177,-3596,-12.32477636,13233,15121,-1888,-12.4859467,12348,14056,-1708,-12.15139442,16678,12404,4274,34.45662689,8295,6151,2144,34.85612096,8383,6253,2130,34.06364945,11041,11679,-638,-5.462796472,5695,6025,-330,-5.477178423,5346,5654,-308,-5.447470817,5637,725,4912,2600,126,2474,3037,599,2438,14540,17498,-2958,-16.9,7538,9096,-1558,-17.1,7002,8402,-1400,-16.7,122,102.5,19.5,19,119.6,100.8,18.8,18.7,124.6,104.3,20.3,19.5,15.59,2002.4,1640.9
2,13115,杉並区,55044,54243,801,1.476688236,26012,26009,3,0.011534469,29032,28234,798,2.826379542,52769,50898,1871,3.67597941,26876,26201,675,2.576237548,25893,24697,1196,4.842693445,23490,24906,-1416,-5.685377018,10152,10938,-786,-7.185957213,13338,13968,-630,-4.510309278,21215,21561,-346,-1.604749316,11016,11130,-114,-1.02425876,10199,10431,-232,-2.224139584,2275,3345,-1070,-864,-192,-672,3139,3537,-398,31554,29337,2217,7.6,15860,15071,789,5.2,15694,14266,1428,10,104.3,106.6,-2.3,-2.2,96.8,99.3,-2.5,-2.5,112.1,114.3,-2.2,-1.9,34.06,1616.1,1549.3
2,13116,豊島区,56061,62044,-5983,-9.64315647,28763,32028,-3265,-10.19420507,27298,30016,-2718,-9.055170576,23405,27474,-4069,-14.81036616,12070,14032,-1962,-13.98232611,11335,13442,-2107,-15.67475078,41947,44033,-2086,-4.737356074,21472,22808,-1336,-5.857593827,20475,21225,-750,-3.533568905,9291,9463,-172,-1.817605411,4779,4812,-33,-0.685785536,4512,4651,-139,-2.988604601,32656,34570,-1914,16693,17996,-1303,15963,16574,-611,14114,18011,-3897,-21.6,7291,9220,-1929,-20.9,6823,8791,-1968,-22.4,239.5,225.8,13.7,6.1,238.3,228.2,10.1,4.4,240.8,223.3,17.5,7.8,13.01,4309.1,1799
2,13117,北区,32147,34006,-1859,-5.46668235,15435,16068,-633,-3.939507095,16712,17938,-1226,-6.834652693,29281,31963,-2682,-8.390952038,15154,16634,-1480,-8.89743898,14127,15329,-1202,-7.841346468,12849,13331,-482,-3.615632736,5515,5414,101,1.865533801,7334,7917,-583,-7.363900467,9983,11288,-1305,-11.56094968,5234,5980,-746,-12.47491639,4749,5308,-559,-10.53127355,2866,2043,823,281,-566,847,2585,2609,-24,19298,20675,-1377,-6.7,9920,10654,-734,-6.9,9378,10021,-643,-6.4,109.8,106.4,3.4,3.2,101.9,96.6,5.3,5.5,118.3,117,1.3,1.1,20.61,1559.8,1420.7
2,13118,荒川区,17443,18547,-1104,-5.952445139,9662,10330,-668,-6.46660213,7781,8217,-436,-5.306072776,20068,20922,-854,-4.081827741,10331,10891,-560,-5.141860252,9737,10031,-294,-2.930914166,4528,4942,-414,-8.377175233,3014,3248,-234,-7.204433498,1514,1694,-180,-10.6257379,7153,7317,-164,-2.241355747,3683,3809,-126,-3.307954844,3470,3508,-38,-1.083238312,-2625,-2375,-250,-669,-561,-108,-1956,-1814,-142,12915,13605,-690,-5.1,6648,7082,-434,-6.1,6267,6523,-256,-3.9,86.9,88.6,-1.7,-1.9,93.5,94.8,-1.3,-1.4,79.9,81.9,-2,-2.4,10.16,1716.8,1975.2
