_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
62,2,12,情報通信業,2,13101,千代田区,122644,3278,688,1069,119366,120853,55875,1487,68
63,2,13,運輸業，郵便業,2,13101,千代田区,19182,498,29,115,18684,19019,10423,335,43
64,2,14,卸売業，小売業,2,13101,千代田区,102947,3187,553,1155,99760,101150,48835,1390,122
65,2,15,金融業，保険業,2,13101,千代田区,101610,2146,106,1221,99464,100264,41230,800,56
66,2,16,不動産業，物品賃貸業,2,13101,千代田区,31535,1937,717,613,29598,30126,13940,528,58
67,2,17,学術研究，専門・技術サービス業,2,13101,千代田区,90747,3441,718,1541,87306,88438,35874,1132,103
68,2,18,宿泊業，飲食サービス業,2,13101,千代田区,32362,1275,256,569,31087,31491,14131,404,20
69,2,19,生活関連サービス業，娯楽業,2,13101,千代田区,11995,592,129,170,11403,11669,5487,266,33
70,2,20,教育，学習支援業,2,13101,千代田区,21580,1272,112,400,20308,21041,8649,733,143
71,2,21,医療，福祉,2,13101,千代田区,21282,3446,133,950,17836,20130,7603,2294,560
72,2,22,複合サービス事業,2,13101,千代田区,2503,188,1,83,2315,2418,940,103,6
73,2,23,サービス業（他に分類されないもの）,2,13101,千代田区,73311,1583,157,700,71728,72404,33572,676,42
74,2,24,公務（他に分類されるものを除く）,2,13101,千代田区,64979,1954,18,1508,63025,63443,24778,418,65
75,1,25,分類不能の産業,2,13101,千代田区,11981,1318,184,147,10663,10787,4889,124,13
76,0,1,総数,2,13102,中央区,548192,82365,10566,24246,465827,510146,249743,44319,4153
77,1,2,第１次産業,2,13102,中央区,392,67,11,22,325,359,225,34,6
78,2,3,農業，林業,2,13102,中央区,249,40,10,10,209,229,127,20,6
79,3,4,うち農業,2,13102,中央区,216,36,9,9,180,198,112,18,6
80,2,5,漁業,2,13102,中央区,143,27,1,12,116,130,98,14,-
81,1,6,第２次産業,2,13102,中央区,95042,8845,963,2557,86197,91351,49572,5154,777
82,2,7,鉱業，採石業，砂利採取業,2,13102,中央区,138,25,1,2,113,135,82,22,1
83,2,8,建設業,2,13102,中央区,28391,2078,146,639,26313,27546,15921,1233,177
84,2,9,製造業,2,13102,中央区,66513,6742,816,1916,59771,63670,33569,3899,599
85,1,10,第３次産業,2,13102,中央区,443758,70037,9132,21156,373721,412206,197082,38485,3317
86,2,11,電気・ガス・熱供給・水道業,2,13102,中央区,3183,347,21,84,2836,3074,1630,238,21
87,2,12,情報通信業,2,13102,中央区,74860,11132,2376,2426,63728,69950,34092,6222,281
88,2,13,運輸業，郵便業,2,13102,中央区,18028,3008,151,610,15020,17174,8967,2154,233
89,2,14,卸売業，小売業,2,13102,中央区,112172,11928,1241,4376,100244,106309,53624,6065,453
90,2,15,金融業，保険業,2,13102,中央区,49387,6484,445,1585,42903,47309,22128,4406,224
91,2,16,不動産業，物品賃貸業,2,13102,中央区,25055,3739,739,1167,21316,23037,11301,1721,160
92,2,17,学術研究，専門・技術サービス業,2,13102,中央区,44633,9797,2257,2309,34836,39945,18772,5109,308
93,2,18,宿泊業，飲食サービス業,2,13102,中央区,26800,5145,550,2898,21655,23181,9254,1526,121
94,2,19,生活関連サービス業，娯楽業,2,13102,中央区,13633,2150,323,703,11483,12537,5851,1054,184
95,2,20,教育，学習支援業,2,13102,中央区,5820,2719,323,535,3101,4913,2013,1812,289
96,2,21,医療，福祉,2,13102,中央区,16590,6274,239,2270,10316,13973,5215,3657,710
97,2,22,複合サービス事業,2,13102,中央区,1082,127,1,49,955,1031,391,76,9
98,2,23,サービス業（他に分類されないもの）,2,13102,中央区,44970,5154,451,1693,39816,42699,20549,2883,191
99,2,24,公務（他に分類されるものを除く）,2,13102,中央区,7545,2033,15,451,5512,7074,3295,1562,133
100,1,25,分類不能の産業,2,13102,中央区,9000,3416,460,511,5584,6230,2864,646,53
101,0,1,総数,2,13103,港区,784296,92647,14097,32782,691649,733161,346221,41512,4892
102,1,2,第１次産業,2,13103,港区,396,69,12,28,327,355,181,28,13
103,2,3,農業，林業,2,13103,港区,343,62,8,27,281,307,150,26,13
104,3,4,うち農業,2,13103,港区,330,59,8,27,271,294,141,23,13
105,2,5,漁業,2,13103,港区,53,7,4,1,46,48,31,2,-
106,1,6,第２次産業,2,13103,港区,120287,8355,985,2615,111932,116518,62312,4586,885
107,2,7,鉱業，採石業，砂利採取業,2,13103,港区,878,19,5,10,859,863,324,4,-
