_id,階層,地域コード,地域,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,面積（平方キロメートル）,昼間人口／人口密度（人／平方キロメートル）,常住人口／人口密度（人／平方キロメートル）
54,2,13303,瑞穂町,35317,19125,16192,31765,15992,15773,111.2,119.6,102.7,16.85,2096.0,1885.2
55,2,13305,日の出町,17760,8239,9521,16958,8267,8691,104.7,99.7,109.6,28.07,632.7,604.1
56,2,13307,檜原村,2133,1058,1075,2003,983,1020,106.5,107.6,105.4,105.41,20.2,19.0
57,2,13308,奥多摩町,4925,2570,2355,4750,2389,2361,103.7,107.6,99.7,225.53,21.8,21.1
58,1,13350,島部,24969,13312,11657,24461,12911,11550,102.1,103.1,100.9,406.69,61.4,60.1
59,2,13361,大島町,7276,3794,3482,7102,3667,3435,102.5,103.5,101.4,90.76,80.2,78.3
60,2,13362,利島村,351,211,140,327,197,130,107.3,107.1,107.7,4.12,85.2,79.4
61,2,13363,新島村,2451,1214,1237,2441,1204,1237,100.4,100.8,100.0,27.54,89.0,88.6
62,2,13364,神津島村,1857,956,901,1855,952,903,100.1,100.4,99.8,18.58,99.9,99.8
63,2,13381,三宅村,2345,1325,1020,2273,1269,1004,103.2,104.4,101.6,55.26,42.4,41.1
64,2,13382,御蔵島村,330,187,143,323,181,142,102.2,103.3,100.7,20.54,16.1,15.7
65,2,13401,八丈町,7133,3607,3526,7042,3534,3508,101.3,102.1,100.5,72.23,98.8,97.5
66,2,13402,青ヶ島村,205,128,77,169,102,67,121.3,125.5,114.9,5.96,34.4,28.4
67,2,13421,小笠原村,3021,1890,1131,2929,1805,1124,103.1,104.7,100.6,106.88,28.3,27.4
68,"",,"",,,,,,,,,,,,
69,令和2年国勢調査による東京都の昼間人口,,"",,,,,,,,,,,,
70,第１表　地域、昼間・常住、男女別人口,,"",,,,,,,,,,,,
71,階層（0:東京都の合計　1:区部・市部・郡部・島部　2:区市町村）,,"",,,,,,,,,,,,
72,注　1)　昼夜間人口比率＝昼間人口÷常住人口×１００,,"",,,,,,,,,,,,
73,注　2)　昼間・常住人口の総数については年齢・労働力不詳を含む。,,"",,,,,,,,,,,,
