_id,地域階層,地域コード,地域,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,面積（キロ平方メートル）,人口密度／昼間人口（人/キロ平方メートル）,人口密度／常住人口（人/キロ平方メートル）
49,2,13225,稲城市,68782,30845,37937,87636,44041,43595,78.5,70,87,17.97,3827.6,4876.8
50,2,13227,羽村市,51875,27488,24387,55833,28451,27382,92.9,96.6,89.1,9.9,5239.9,5639.7
51,2,13228,あきる野市,69906,33115,36791,80954,40218,40736,86.4,82.3,90.3,73.47,951.5,1101.9
52,2,13229,西東京市,157135,69503,87632,200012,97830,102182,78.6,71,85.8,15.75,9976.8,12699.2
53,1,13300,郡部,61274,31261,30013,58334,29096,29238,105,107.4,102.7,375.86,163,155.2
54,2,13303,瑞穂町,36767,19858,16909,33445,16951,16494,109.9,117.1,102.5,16.85,2182,1984.9
55,2,13305,日の出町,17205,7742,9463,17446,8485,8961,98.6,91.2,105.6,28.07,612.9,621.5
56,2,13307,檜原村,2089,1013,1076,2209,1081,1128,94.6,93.7,95.4,105.41,19.8,21
57,2,13308,奥多摩町,5213,2648,2565,5234,2579,2655,99.6,102.7,96.6,225.53,23.1,23.2
58,1,13350,島部,27259,14436,12823,26491,13859,12632,102.9,104.2,101.5,404.16,67.4,65.5
59,2,13361,大島町,7998,4128,3870,7884,4031,3853,101.4,102.4,100.4,90.76,88.1,86.9
60,2,13362,利島村,416,238,178,337,191,146,123.4,124.6,121.9,4.12,101,81.8
61,2,13363,新島村,2805,1388,1417,2749,1344,1405,102,103.3,100.9,27.54,101.9,99.8
62,2,13364,神津島村,1938,995,943,1891,969,922,102.5,102.7,102.3,18.58,104.3,101.8
63,2,13381,三宅村,2574,1421,1153,2482,1350,1132,103.7,105.3,101.9,55.27,46.6,44.9
64,2,13382,御蔵島村,431,257,174,335,189,146,128.7,136,119.2,20.54,21,16.3
65,2,13401,八丈町,7731,3872,3859,7613,3785,3828,101.5,102.3,100.8,72.23,107,105.4
66,2,13402,青ヶ島村,225,139,86,178,107,71,126.4,129.9,121.1,5.96,37.8,29.9
67,2,13421,小笠原村,3141,1998,1143,3022,1893,1129,103.9,105.5,101.2,104.35,30.1,29
68,"",,"",,,,,,,,,,,,
69,平成27年国勢調査による東京都の昼間人口,,"",,,,,,,,,,,,
70,第1表　地域、昼間・常住、男女別人口,,"",,,,,,,,,,,,
71,注　1)　昼夜間人口比率＝昼間人口÷常住人口×100,,"",,,,,,,,,,,,
72,注　2)　昼間・常住人口の総数については年齢・労働力不詳を含む。,,"",,,,,,,,,,,,
73,地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,"",,,,,,,,,,,,
