階層,地域コード,地域,昼間通学者／総数／令和２（2020）年（人）,昼間通学者／総数／平成27（2015）年（人）,昼間通学者／総数／増減数（人）,昼間通学者／総数／増減率（％）,昼間通学者／男／令和２（2020）年（人）,昼間通学者／男／平成27（2015）年（人）,昼間通学者／男／増減数（人）,昼間通学者／男／増減率（％）,昼間通学者／女／令和２（2020）年（人）,昼間通学者／女／平成27（2015）年（人）,昼間通学者／女／増減数（人）,昼間通学者／女／増減率（％）,常住通学者／総数／令和２（2020）年（人）,常住通学者／総数／平成27（2015）年（人）,常住通学者／総数／増減数（人）,常住通学者／総数／増減率（％）,常住通学者／男／令和２（2020）年（人）,常住通学者／男／平成27（2015）年（人）,常住通学者／男／増減数（人）,常住通学者／男／増減率（％）,常住通学者／女／令和２（2020）年(人),常住通学者／女／平成27（2015）年（人）,常住通学者／増減数／女（人）,常住通学者／増減率／女（％）,流入通学者／総数／令和２（2020）年（人）,流入通学者／総数／平成27（2015）年（人）,流入通学者／総数／増減数（人）,流入通学者／総数／増減率（％）,流入通学者／男／令和２（2020）年（人）,流入通学者／男／平成27年（2015）年（人）,流入通学者／男／増減数（人）,流入通学者／男／増減率（％）,流入通学者／女／令和２（2020）年（人）,流入通学者／女／平成27年（2015）年（人）,流入通学者／女／増減数（人）,流入通学者／女／増減率（％）,流出通学者／総数／令和２（2020）年（人）,流出通学者／総数／平成27（2015）年（人）,流出通学者／総数／増減数（人）,流出通学者／総数／増減率（％）,流出通学者／男／令和２（2020）年（人）,流出通学者／男／平成27年（2015）年（人）,流出通学者／男／増減数（人）,流出通学者／男／増減率（％）,流出通学者／女／令和２（2020）年（人）,流出通学者／女／平成27年（2015）年（人）,流出通学者／女／増減数（人）,流出通学者／女／増減率（％）,流入超過通学者／総数／令和２（2020）年（人）,流入超過通学者／総数／平成27（2015）年（人）,流入超過通学者／総数／増減数（人）,流入超過通学者／男／令和２（2020）年（人）,流入超過通学者／男／平成27（2015）年（人）,流入超過通学者／男／増減数(人),流入超過通学者／女／令和２（2020）年（人）,流入超過通学者／女／平成27（2015）年（人）,流入超過通学者／女／増減数（人）,残留通学者／総数／令和２（2020）年（人）,残留通学者／総数／平成27（2015）年（人）,残留通学者／総数／増減数（人）,残留通学者／総数／増減率（％）,残留通学者／男／令和２（2020）年（人）,残留通学者／男／平成27（2015）年（人）,残留通学者／男／増減数（人）,残留通学者／男／増減率（％）,残留通学者／女／令和２（2020）年（人）,残留通学者／女／平成27（2015）年（人）,残留通学者／女／増減数（人）,残留通学者／女／増減率（％）,昼夜間通学者比率／総数／令和２（2020）年（％）,昼夜間通学者比率／総数／平成27（2015）年（％）,昼夜間通学者比率／総数／増減数(人),昼夜間通学者比率／総数／増減率(％),昼夜間通学者比率／男／令和２（2020）年（％）,昼夜間通学者比率／男／平成27（2015）年（％）,昼夜間通学者比率／男／増減数（人）,昼夜間通学者比率／男／増減率（％）,昼夜間通学者比率／女／令和２（2020）年（％）,昼夜間通学者比率／女／平成27（2015）年（％）,昼夜間通学者比率／女／増減数（人）,昼夜間通学者比率／女／増減率（％）,面積（平方キロメートル）,人口密度／昼間通学者（人／平方キロメートル）,人口密度／常住通学者（人／平方キロメートル）
2,13109,品川区,40115,40170,-55,-0.1,19658,19360,298,1.5,20457,20810,-353,-1.7,35369,32908,2461,7.5,18094,16824,1270,7.5,17275,16084,1191,7.4,15700,18442,-2742,-14.9,7063,8187,-1124,-13.7,8637,10255,-1618,-15.8,10954,11180,-226,-2.0,5499,5651,-152,-2.7,5455,5529,-74,-1.3,4746,7262,-2516,1564,2536,-972,3182,4726,-1544,24415,21728,2687,12.4,12595,11173,1422,12.7,11820,10555,1265,12.0,113.4,122.1,-8.7,-7.1,108.6,115.1,-6.5,-5.6,118.4,129.4,-11.0,-8.5,22.84,1756.3,1548.6
2,13110,目黒区,32214,32378,-164,-0.5,18648,19262,-614,-3.2,13566,13116,450,3.4,25380,25311,69,0.3,13067,13054,13,0.1,12313,12257,56,0.5,15901,17542,-1641,-9.4,9969,11385,-1416,-12.4,5932,6157,-225,-3.7,9067,10475,-1408,-13.4,4388,5177,-789,-15.2,4679,5298,-619,-11.7,6834,7067,-233,5581,6208,-627,1253,859,394,16313,14836,1477,10.0,8679,7877,802,10.2,7634,6959,675,9.7,126.9,127.9,-1.0,-0.8,142.7,147.6,-4.9,-3.3,110.2,107.0,3.2,3.0,14.67,2195.9,1730.1
2,13111,大田区,56422,57941,-1519,-2.6,29710,30809,-1099,-3.6,26712,27132,-420,-1.5,66501,69322,-2821,-4.1,34228,35846,-1618,-4.5,32273,33476,-1203,-3.6,9847,11385,-1538,-13.5,5448,6421,-973,-15.2,4399,4964,-565,-11.4,19926,22766,-2840,-12.5,9966,11458,-1492,-13.0,9960,11308,-1348,-11.9,-10079,-11381,1302,-4518,-5037,519,-5561,-6344,783,46575,46556,19,0.0,24262,24388,-126,-0.5,22313,22168,145,0.7,84.8,83.6,1.2,1.4,86.8,85.9,0.9,1.0,82.8,81.0,1.8,2.2,61.86,912.1,1075.0
2,13112,世田谷区,116747,120823,-4076,-3.4,60236,63316,-3080,-4.9,56511,57507,-996,-1.7,98854,93647,5207,5.6,51680,49636,2044,4.1,47174,44011,3163,7.2,47807,57517,-9710,-16.9,24170,29682,-5512,-18.6,23637,27835,-4198,-15.1,29914,30341,-427,-1.4,15614,16002,-388,-2.4,14300,14339,-39,-0.3,17893,27176,-9283,8556,13680,-5124,9337,13496,-4159,68940,63306,5634,8.9,36066,33634,2432,7.2,32874,29672,3202,10.8,118.1,129.0,-10.9,-8.4,116.6,127.6,-11.0,-8.6,119.8,130.7,-10.9,-8.3,58.05,2011.1,1702.9
2,13113,渋谷区,42833,50504,-7671,-15.2,17346,20519,-3173,-15.5,25487,29985,-4498,-15.0,17362,16422,940,5.7,8650,8224,426,5.2,8712,8198,514,6.3,31560,40564,-9004,-22.2,11729,15549,-3820,-24.6,19831,25015,-5184,-20.7,6089,6482,-393,-6.1,3033,3254,-221,-6.8,3056,3228,-172,-5.3,25471,34082,-8611,8696,12295,-3599,16775,21787,-5012,11273,9940,1333,13.4,5617,4970,647,13.0,5656,4970,686,13.8,246.7,307.5,-60.8,-19.8,200.5,249.5,-49.0,-19.6,292.6,365.8,-73.2,-20.0,15.11,2834.7,1149.0
2,13114,中野区,31060,31218,-158,-0.5,15808,15833,-25,-0.2,15252,15385,-133,-0.9,24804,25581,-777,-3.0,12721,13233,-512,-3.9,12083,12348,-265,-2.1,15261,16678,-1417,-8.5,7659,8295,-636,-7.7,7602,8383,-781,-9.3,9005,11041,-2036,-18.4,4572,5695,-1123,-19.7,4433,5346,-913,-17.1,6256,5637,619,3087,2600,487,3169,3037,132,15799,14540,1259,8.7,8149,7538,611,8.1,7650,7002,648,9.3,125.2,122.0,3.2,2.6,124.3,119.6,4.7,3.9,126.2,124.6,1.6,1.3,15.59,1992.3,1591.0
2,13115,杉並区,53240,55044,-1804,-3.3,25941,26012,-71,-0.3,27299,29032,-1733,-6.0,51388,52769,-1381,-2.6,26145,26876,-731,-2.7,25243,25893,-650,-2.5,19870,23490,-3620,-15.4,8871,10152,-1281,-12.6,10999,13338,-2339,-17.5,18018,21215,-3197,-15.1,9075,11016,-1941,-17.6,8943,10199,-1256,-12.3,1852,2275,-423,-204,-864,660,2056,3139,-1083,33370,31554,1816,5.8,17070,15860,1210,7.6,16300,15694,606,3.9,103.6,104.3,-0.7,-0.7,99.2,96.8,2.4,2.5,108.1,112.1,-4.0,-3.6,34.06,1563.1,1508.7
2,13116,豊島区,48566,56061,-7495,-13.4,25151,28763,-3612,-12.6,23415,27298,-3883,-14.2,23694,23405,289,1.2,12096,12070,26,0.2,11598,11335,263,2.3,33476,41947,-8471,-20.2,17378,21472,-4094,-19.1,16098,20475,-4377,-21.4,8604,9291,-687,-7.4,4323,4779,-456,-9.5,4281,4512,-231,-5.1,24872,32656,-7784,13055,16693,-3638,11817,15963,-4146,15090,14114,976,6.9,7773,7291,482,6.6,7317,6823,494,7.2,205.0,239.5,-34.5,-14.4,207.9,238.3,-30.4,-12.8,201.9,240.8,-38.9,-16.2,13.01,3733.0,1821.2
2,13117,北区,31577,32147,-570,-1.8,15709,15435,274,1.8,15868,16712,-844,-5.1,29105,29281,-176,-0.6,14999,15154,-155,-1.0,14106,14127,-21,-0.1,11633,12849,-1216,-9.5,5446,5515,-69,-1.3,6187,7334,-1147,-15.6,9161,9983,-822,-8.2,4736,5234,-498,-9.5,4425,4749,-324,-6.8,2472,2866,-394,710,281,429,1762,2585,-823,19944,19298,646,3.3,10263,9920,343,3.5,9681,9378,303,3.2,108.5,109.8,-1.3,-1.2,104.7,101.9,2.8,2.7,112.5,118.3,-5.8,-4.9,20.61,1532.1,1412.2
2,13118,荒川区,17178,17443,-265,-1.5,9506,9662,-156,-1.6,7672,7781,-109,-1.4,19969,20068,-99,-0.5,10203,10331,-128,-1.2,9766,9737,29,0.3,3961,4528,-567,-12.5,2737,3014,-277,-9.2,1224,1514,-290,-19.2,6752,7153,-401,-5.6,3434,3683,-249,-6.8,3318,3470,-152,-4.4,-2791,-2625,-166,-697,-669,-28,-2094,-1956,-138,13217,12915,302,2.3,6769,6648,121,1.8,6448,6267,181,2.9,86.0,86.9,-0.9,-1.0,93.2,93.5,-0.3,-0.3,78.6,79.9,-1.3,-1.6,10.16,1690.7,1965.5
